Unnamed: 0,Unnamed: 1,Unnamed: 2,2021 Keystone Grade 11 - School Level Proficiency Results*,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from school aggregation, EL students who were enrolled for less than one year in a school, or students who did not attempt. Proficiency percentages may not add up to 100 due to rounding.",,,,,,,,,,,
,,,* Information is not displayed for student populations of fewer than 11.,,,,,,,,,,,
,,,** Note that fewer students participated in Keystone Exams than in past years. A comparison to 2018-19 is included in the table below to demonstrate that difference. 2021 results may not reflect representative samples of the schools' students. Cross-year comparisons of proficiency are likely to be inaccurate for this reason.   ,,,,,,,,,,,
,,,,,,,,,,,,,,
AUN,School Number,County,District Name,School Name,Subject,Group,Grade,Number Scored,Difference in Number Scored From 2019,Percent Reduction From 2019,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Literature,All Students,11,1,-230,-0.9956709956709957,,,,
103024603,000005190,Allegheny,HAMPTON TOWNSHIP SD,HAMPTON HS,Literature,Historically Underperforming,11,1,-38,-0.9743589743589743,,,,
103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Algebra I,All Students,11,127,-18,-0.12413793103448276,11.8,40.2,33.9,14.2
103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Algebra I,Historically Underperforming,11,56,-13,-0.18840579710144928,5.4,33.9,35.7,25
103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Biology,All Students,11,140,-2,-0.014084507042253521,7.9,23.6,37.9,30.7
103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Biology,Historically Underperforming,11,65,-4,-0.057971014492753624,3.1,18.5,32.3,46.2
103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Literature,All Students,11,4,-140,-0.9722222222222222,,,,
103024753,000005153,Allegheny,HIGHLANDS SD,HIGHLANDS SHS,Literature,Historically Underperforming,11,2,-67,-0.9710144927536232,,,,
103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Algebra I,All Students,11,128,-10,-0.07246376811594203,25.8,40.6,26.6,7
103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Algebra I,Historically Underperforming,11,50,-1,-0.0196078431372549,16,34,40,10
103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Biology,All Students,11,131,-9,-0.06428571428571428,27.5,37.4,21.4,13.7
103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Biology,Historically Underperforming,11,53,1,0.019230769230769232,17,34,26.4,22.6
103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Literature,All Students,11,4,-134,-0.9710144927536232,,,,
103025002,000005112,Allegheny,KEYSTONE OAKS SD,KEYSTONE OAKS HS,Literature,Historically Underperforming,11,4,-46,-0.92,,,,
103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Algebra I,All Students,11,148,-63,-0.2985781990521327,6.1,15.5,38.5,39.9
103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Algebra I,Historically Underperforming,11,74,-57,-0.4351145038167939,5.4,10.8,37.8,45.9
103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Biology,All Students,11,25,-181,-0.8786407766990292,4,8,36,52
103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Biology,Historically Underperforming,11,17,-108,-0.864,0,0,47.1,52.9
103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Literature,All Students,11,14,-201,-0.9348837209302325,0,21.4,28.6,50
103026002,000006105,Allegheny,MCKEESPORT AREA SD,MCKEESPORT AREA SHS,Literature,Historically Underperforming,11,11,-124,-0.9185185185185185,0,27.3,27.3,45.5
103026037,000006672,Allegheny,MCKEESPORT AREA TECH CTR,MCKEESPORT AREA TECH CTR,Algebra I,All Students,11,3,-3,-0.5,,,,
