Cat,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,Actual Instruction Expense,"Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,103021453.0,Brentwood Borough SD,Allegheny,15840416.46,5964621.17,693881.15,22498918.78,136688.19,1823420.71,24459027.68,16450097.86,11763280.29,3732419.79,327716.38,17000.0,,,,,540774.36,442531.99,1696198.29,382217.53,341449.34,1998730.08,404652.91,147698.62,10368.05
1.0,103021603.0,Carlynton SD,Allegheny,18537596.0,8428191.75,586802.1,27552589.85,,377677.0,27930266.85,20577270.13,13053884.16,4579759.25,843765.88,16406.81,43779.9,,,,1169653.99,1168262.71,1699007.13,244026.04,369025.6,2420622.82,1337814.49,,19778.97
1.0,103021752.0,Chartiers Valley SD,Allegheny,42309833.14,19172206.64,1502506.66,62984546.44,53483.5,5570900.26,68608930.2,46253814.17,33478331.63,8007160.21,753676.9,39072.55,31591.85,,,,1357676.43,2133787.46,3366324.14,491926.55,940908.02,5772511.26,4171400.35,,937672.43
1.0,103021903.0,Clairton City SD,Allegheny,11382948.84,5547552.82,360221.4,17290723.06,,406288.01,17697011.07,11595078.05,8821767.84,2243000.46,246986.53,52162.51,19031.5,,,,590385.89,330508.23,1365826.79,154896.77,493265.38,1623322.31,471554.1,513923.26,3870.09
1.0,103022103.0,Cornell SD,Allegheny,9437624.0,4854240.0,447041.0,14738905.0,133500.0,1183614.0,16056019.0,10619643.96,6894093.0,1936880.0,225924.0,380727.0,,,,,396086.0,457761.0,1181023.0,152982.0,362242.0,1550757.0,743055.0,,10334.0
1.0,103022253.0,Deer Lakes SD,Allegheny,22172400.69,10975169.78,614198.97,33761769.44,,3789172.55,37550941.99,25032091.57,15803459.49,5535655.34,824286.18,941.98,8057.7,,,,1067960.47,375870.99,2370681.04,301771.86,421080.23,3342051.95,1901855.33,1162553.95,31343.96
1.0,103022503.0,Duquesne City SD,Allegheny,14616244.25,5100804.91,56569.1,19773618.26,162868.0,1615158.66,21551644.92,14681061.76,10283276.93,3877452.56,143292.47,14875.55,46897.42,,,250449.32,1105096.64,613421.41,742397.41,68210.05,305034.8,1137120.66,875105.81,251596.95,2821.18
1.0,103022803.0,East Allegheny SD,Allegheny,22112141.0,10626066.0,451395.0,33189602.0,14461.0,2362252.0,35566315.0,19624957.27,16075665.0,4293920.0,815580.0,910159.0,16817.0,,,,1452318.0,1178014.0,1520490.0,242306.0,411055.0,2769612.0,2967352.0,70353.0,14566.0
1.0,103023153.0,Elizabeth Forward SD,Allegheny,23938413.49,13498488.09,1115745.0,38552646.58,14403.69,5132939.66,43699989.93,26210170.02,16547211.36,5729182.54,1618239.2,42389.39,1391.0,,,,1243316.59,1470938.12,2666258.71,496778.97,494346.43,4705107.48,2133407.11,264752.2,23582.48
1.0,103023912.0,Fox Chapel Area SD,Allegheny,59744530.69,29076506.99,2400902.14,91221939.82,589679.04,8382250.29,100193869.15,72149815.18,46090622.41,12251544.69,665650.34,443933.1,18562.29,,,274217.86,4029021.96,3872401.99,6212375.38,617395.73,1496238.97,8408482.98,3581742.32,755352.96,103494.7
1.0,103024102.0,Gateway SD,Allegheny,48263317.21,21222759.56,1119915.67,70605992.44,,3919497.34,74525489.78,52643109.86,29949274.82,15740342.59,2327851.94,204119.42,41728.44,,,,2887069.49,1104798.3,4459734.78,535871.0,1045173.58,6690807.85,3901905.49,531576.22,65822.85
1.0,103024603.0,Hampton Township SD,Allegheny,33462599.04,16946476.43,1211293.89,51620369.36,,4918228.68,56538598.04,38414056.31,27643006.4,5041722.33,713416.65,59492.66,4961.0,,,,1842258.63,1249841.16,3790498.17,611990.55,426253.41,5499487.54,2344203.27,1132913.9,49029.8
1.0,103024753.0,Highlands SD,Allegheny,27612750.06,12980433.82,633837.06,41227020.94,,2992800.18,44219821.12,28043063.46,19112758.11,7626662.24,410483.2,107629.85,69192.37,,,286024.29,1327027.21,557620.96,2594370.29,442856.03,702625.53,3811049.87,2106419.34,1416568.06,21896.53
1.0,103025002.0,Keystone Oaks SD,Allegheny,24446187.91,13220896.32,865261.85,38532346.080000006,,5103863.23,43636209.31,27604767.31,17241389.52,5738618.35,470207.09,778151.98,65791.66,152029.31,,,1527775.68,587154.34,2266541.94,488480.63,274389.01,4956716.11,1780202.31,1301339.75,38296.55
