Ctgy,AUN,LEA Name,County,"Instruction
1000",Support Services 2000,Operation of Noninstructional Services 3000,Current Expenditures,"Facilities Acquisition, Construction and Improvement Services 4000",Other Expenditures and Financing Uses 5000,Total Expenditures ,"Actual
Instruction Expense (AIE)","Regular
Programs - Elem/Sec
1100","Special
Programs - Elem/Sec
1200",Vocational Education Programs 1300,Other Instructional Programs - E/S 1400,Nonpublic School Programs 1500,Adult Education Programs 1600,Higher Education Programs for Secondary Students 1700,Pre-Kindergarten 1800,"Support Services -Students
2100",Instructional Staff 2200,Administration 2300,Pupil Health 2400,Business 2500,Operation & Maintenance of Plant Services 2600,Student Transportation Services 2700,Central 2800,Other Support Services 2900
1.0,108116503.0,Richland SD,Cambria,11911524.77,6523064.76,878582.32,19313171.85,,2887600.59,22200772.44,14827721.6,9064124.99,1931435.2,806869.59,89116.62,19978.37,,,,595345.08,1298198.49,1208653.81,228961.82,322277.47,2004076.24,853780.6,2652.4,9118.85
1.0,108118503.0,Westmont Hilltop SD,Cambria,12295021.94,6295604.09,644070.13,19234696.16,3626740.71,1297722.85,24159159.72,14370174.56,9713584.97,2119554.74,421923.16,16727.94,21871.0,,,1360.13,1134397.93,206789.24,1234454.99,403707.95,328034.49,1614382.72,805869.24,561950.57,6016.96
1.0,109122703.0,Cameron County SD,Cameron,7266740.71,3844234.83,348572.03,11459547.57,,1153128.0,12612675.57,8263237.08,4950894.94,1710307.28,532467.78,73070.71,,,,,223080.49,650340.93,669704.51,154290.87,289401.26,1265582.06,551510.81,,40323.9
1.0,121135003.0,Jim Thorpe Area SD,Carbon,27635052.89,12259945.7,1029683.31,40924681.9,,5963692.72,46888374.62,30747404.2,16139799.26,6988921.47,3110441.96,950359.43,,190133.0,82111.5,173286.27,1165831.46,715330.47,1964277.26,280143.48,645818.23,3678752.29,3042213.66,723690.71,43888.14
1.0,121135503.0,Lehighton Area SD,Carbon,26343456.32,11251580.55,1051510.46,38646547.33,16877.51,4242304.42,42905729.26,28574675.73,17979508.72,6419748.1,1696928.16,,,231985.0,,15286.34,1245620.6,1128781.08,2098452.64,554571.26,643219.15,3451069.63,1511805.86,590909.06,27151.27
1.0,121136503.0,Palmerton Area SD,Carbon,19113129.39,7432252.55,941712.58,27487094.52,,2231870.73,29718965.25,20615992.51,11953356.55,4409114.17,2370637.44,177621.23,4707.0,197693.0,,,811303.63,556387.65,1395662.87,295556.0,472280.79,2119623.58,1350877.92,408386.24,22173.87
1.0,121136603.0,Panther Valley SD,Carbon,17820528.32,5980758.14,461759.2,24263045.66,,2394684.47,26657730.13,16493891.72,7958037.1,7127645.96,1434576.09,1169405.17,,,130864.0,,578375.13,246912.43,1298070.91,301503.52,440554.0,1556987.96,1548394.79,,9959.4
1.0,121139004.0,Weatherly Area SD,Carbon,8362224.2,4362701.59,240759.66,12965685.45,135911.73,341725.6,13443322.78,9881308.31,5277774.34,1977323.77,667912.66,107495.87,,,,331717.56,432790.4,377374.27,885018.27,155683.3,288937.73,1298350.38,763096.38,152300.98,9149.88
1.0,110141003.0,Bald Eagle Area SD,Centre,17172099.7,9997609.54,771552.34,27941261.58,571573.7,12287836.79,40800672.07,21199047.65,11119440.26,3592280.18,2087045.26,373334.0,,,,,1056521.05,1796250.52,1732768.42,349953.85,377197.37,2703352.28,1868105.15,64075.97,49384.93
1.0,110141103.0,Bellefonte Area SD,Centre,29591797.75,15717868.89,850633.88,46160300.52,,12039091.57,58199392.09,35375190.95,19552147.07,7275597.61,2547521.65,201496.89,15034.53,,,,1413667.27,1300543.71,3570838.27,335738.83,629642.81,5185208.93,2204432.5,1077796.57,
1.0,110147003.0,Penns Valley Area SD,Centre,14374428.91,8190136.37,632471.56,23197036.84,1209936.42,10619792.92,35026766.18,17075620.71,10479845.96,3145634.44,672327.77,76620.74,,,,,620598.12,1393879.05,1568276.12,241133.89,294410.12,2315981.86,1672790.91,83066.3,
1.0,110148002.0,State College Area SD,Centre,85570824.83,43116401.5,2803368.15,131490594.48,5028.75,23616806.91,155112430.14,102492476.97,61576243.53,18210310.15,3651579.07,2109228.93,14810.51,8652.64,,,5080463.26,5158111.36,7737367.68,1529258.93,1417944.28,9935706.53,6399828.09,5857721.37,
