Cat,AUN,LEA Name,County,"Committed
Fund Balance 0830","Assigned
Fund Balance 0840","Unassigned
Fund Balance 0850"
1.0,101308503.0,West Greene SD,Greene,16513157.0,12104.0,2613242.0
1.0,111312503.0,Huntingdon Area SD,Huntingdon,12792.0,1618945.0,1208697.0
1.0,111312804.0,Juniata Valley SD,Huntingdon,600000.0,4086727.0,1110227.0
1.0,111316003.0,Mount Union Area SD,Huntingdon,,1380092.0,1500000.0
1.0,111317503.0,Southern Huntingdon County SD,Huntingdon,,5700000.0,848613.0
1.0,128323303.0,Homer-Center SD,Indiana,2457479.0,405861.0,1183211.0
1.0,128323703.0,Indiana Area SD,Indiana,759616.0,16132.0,7208109.0
1.0,128325203.0,Marion Center Area SD,Indiana,,178397.0,2957955.0
1.0,128326303.0,Penns Manor Area SD,Indiana,2323960.0,,2409746.0
1.0,128327303.0,Purchase Line SD,Indiana,,6396669.0,2070607.0
1.0,128321103.0,River Valley SD,Indiana,,,3429512.0
1.0,128328003.0,United SD,Indiana,1350000.0,6390384.0,1937084.0
1.0,106330703.0,Brockway Area SD,Jefferson,210000.0,8894589.0,829319.0
1.0,106330803.0,Brookville Area SD,Jefferson,8834994.0,151752.0,8198599.0
1.0,106338003.0,Punxsutawney Area SD,Jefferson,7978004.0,14691.0,5075892.0
1.0,111343603.0,Juniata County SD,Juniata,11159848.0,,3000000.0
1.0,119350303.0,Abington Heights SD,Lackawanna,1500000.0,7000000.0,1923472.0
1.0,119351303.0,Carbondale Area SD,Lackawanna,,,4268676.0
1.0,119352203.0,Dunmore SD,Lackawanna,1500000.0,,1512519.0
1.0,119354603.0,Lakeland SD,Lackawanna,,4323156.0,
1.0,119355503.0,Mid Valley SD,Lackawanna,,2802000.0,2368805.0
1.0,119356503.0,North Pocono SD,Lackawanna,7356232.0,,
1.0,119356603.0,Old Forge SD,Lackawanna,,,1608444.0
1.0,119357003.0,Riverside SD,Lackawanna,,,5023770.0
1.0,119357402.0,Scranton SD,Lackawanna,,,16290199.0
1.0,119358403.0,Valley View SD,Lackawanna,,,3195915.0
1.0,113361303.0,Cocalico SD,Lancaster,11820000.0,460000.0,5755714.0
1.0,113361503.0,Columbia Borough SD,Lancaster,4340790.0,2799935.0,
1.0,113361703.0,Conestoga Valley SD,Lancaster,6874643.0,2765965.0,7143894.0
1.0,113362203.0,Donegal SD,Lancaster,9930000.0,3324400.0,3633521.0
1.0,113362303.0,Eastern Lancaster County SD,Lancaster,7118553.0,,3589727.0
1.0,113362403.0,Elizabethtown Area SD,Lancaster,400000.0,5900000.0,5362491.0
1.0,113362603.0,Ephrata Area SD,Lancaster,11450000.0,1610845.0,6547488.0
1.0,113363103.0,Hempfield SD,Lancaster,3000000.0,11202511.0,10000000.0
