Unnamed: 0,Unnamed: 1,Unnamed: 2,The 2016 Keystone Exams - Best Score Results*,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,"* Proficiency summary data do not include students who were enrolled in the school after October 1, home schooled, excluded from school aggregation, ELL students who were enrolled for less than one year in US school, or students who did not attempt. ",,,,,,,,,,
,,,Data for groups with 10 or fewer students were replaced by blanks. Proficiency percentages may not add up to 100 due to rounding.,,,,,,,,,,
,,,,,,,,,,,,,
Year,AUN,School Number,County,District,School,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2016,103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Algebra I,Historically Underperforming,11,77,14.3,42.9,33.8,9.1
2016,103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,All Students,11,267,33.7,54.7,7.5,4.1
2016,103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Biology,Historically Underperforming,11,79,22.8,50.6,16.5,10.1
2016,103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,All Students,11,269,12.3,69.9,14.1,3.7
2016,103021752,000006706,ALLEGHENY,CHARTIERS VALLEY SD,CHARTIERS VALLEY HS,Literature,Historically Underperforming,11,81,2.5,63,25.9,8.6
2016,102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Algebra I,All Students,11,133,23.3,49.6,21.8,5.3
2016,102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Algebra I,Historically Underperforming,11,89,18,50.6,27,4.5
2016,102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Biology,All Students,11,132,26.5,49.2,15.2,9.1
2016,102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Biology,Historically Underperforming,11,88,21.6,50,18.2,10.2
2016,102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Literature,All Students,11,133,4.5,72.2,20.3,3
2016,102020001,000007727,ALLEGHENY,CITY CHS,CITY CHS,Literature,Historically Underperforming,11,89,3.4,68.5,23.6,4.5
2016,103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,All Students,11,39,5.1,51.3,41,2.6
2016,103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Algebra I,Historically Underperforming,11,29,0,41.4,55.2,3.4
2016,103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,All Students,11,39,5.1,35.9,30.8,28.2
2016,103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Biology,Historically Underperforming,11,29,3.4,24.1,34.5,37.9
2016,103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,All Students,11,38,2.6,63.2,21.1,13.2
2016,103021903,000008094,ALLEGHENY,CLAIRTON CITY SD,CLAIRTON MS/HS,Literature,Historically Underperforming,11,28,3.6,50,28.6,17.9
2016,103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Algebra I,All Students,11,38,2.6,50,36.8,10.5
2016,103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Algebra I,Historically Underperforming,11,38,2.6,50,36.8,10.5
2016,103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Biology,All Students,11,38,5.3,47.4,36.8,10.5
2016,103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Biology,Historically Underperforming,11,38,5.3,47.4,36.8,10.5
2016,103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Literature,All Students,11,38,7.9,68.4,13.2,10.5
2016,103022103,000008087,ALLEGHENY,CORNELL SD,CORNELL HS,Literature,Historically Underperforming,11,38,7.9,68.4,13.2,10.5
