Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)","Local Other
(6500-6999)","Total Local Revenue
6000 ",Local % of Total Revenue,"Total State Revenue
7000",State % of Total Revenue,"Total Federal Revenue
8000",Federal % of Total Revenue,"Total Other Revenue
9000",Other % of Total Revenue
1.0,114067002.0,Reading SD,Berks,249486709.99,38944228.41,5680958.2700000005,44625186.68,0.1789,186440476.59,0.7473,18382351.82,0.0737,38694.9,0.0002
1.0,114067503.0,Schuylkill Valley SD,Berks,36650406.26,26730580.909999996,1026483.26,27757064.17,0.7573,8586793.12,0.2343,281514.23,0.0077,25034.74,0.0007
1.0,114068003.0,Tulpehocken Area SD,Berks,30228063.59,19134169.76,606114.09,19740283.85,0.653,9840772.19,0.3256,647007.55,0.0214,,0.0
1.0,114068103.0,Twin Valley SD,Berks,62362750.0,42539333.0,2663335.0,45202668.0,0.7248,16352485.0,0.2622,803128.0,0.0129,4469.0,0.0001
1.0,114069103.0,Wilson  SD,Berks,100031161.11,72879262.50999999,3221201.4600000004,76100463.97,0.7608,22474836.39,0.2247,1204507.89,0.012,251352.86,0.0025
1.0,114069353.0,Wyomissing Area SD,Berks,35061410.79,27332625.580000002,920283.9699999999,28252909.55,0.8058,6084542.46,0.1735,362878.45,0.0103,361080.33,0.0103
1.0,108070502.0,Altoona Area SD,Blair,99612691.98,24738431.090000004,3524992.91,28263424.0,0.2837,64586882.1,0.6484,4730973.36,0.0475,2031412.52,0.0204
1.0,108071003.0,Bellwood-Antis SD,Blair,17517652.99,6249548.579999999,534146.98,6783695.56,0.3872,10449150.37,0.5965,284807.06,0.0163,,0.0
1.0,108071504.0,Claysburg-Kimmel SD,Blair,11711548.95,2904381.9200000004,295385.17000000004,3199767.09,0.2732,8135099.79,0.6946,376682.07,0.0322,,0.0
1.0,108073503.0,Hollidaysburg Area SD,Blair,61117683.09,24277343.45,1391715.26,25669058.71,0.42,21014484.12,0.3438,876699.98,0.0143,13557440.28,0.2218
1.0,108077503.0,Spring Cove SD,Blair,25108924.97,10888970.840000002,774750.45,11663721.29,0.4645,13011647.58,0.5182,433556.1,0.0173,,0.0
1.0,108078003.0,Tyrone Area SD,Blair,24601746.82,6895975.899999999,599849.0999999999,7495825.0,0.3047,15810195.57,0.6426,1295726.25,0.0527,,0.0
1.0,108079004.0,Williamsburg Community SD,Blair,7662547.54,2033994.58,182983.86,2216978.44,0.2893,5228010.86,0.6823,217558.24,0.0284,,0.0
1.0,117080503.0,Athens Area SD,Bradford,37965720.19,15865965.540000001,1073273.4300000002,16939238.97,0.4462,20027938.07,0.5275,990543.15,0.0261,8000.0,0.0002
1.0,117081003.0,Canton Area SD,Bradford,15501892.02,3733788.9899999998,390217.18,4124006.17,0.266,11040272.62,0.7122,337613.23,0.0218,,0.0
1.0,117083004.0,Northeast Bradford SD,Bradford,14087973.15,3979048.83,383332.13000000006,4362380.96,0.3097,9386727.12,0.6663,338865.07,0.0241,,0.0
1.0,117086003.0,Sayre Area SD,Bradford,18497808.08,7654141.369999999,484283.5,8138424.87,0.44,10064140.21,0.5441,295243.0,0.016,,0.0
1.0,117086503.0,Towanda Area SD,Bradford,24830760.93,10381126.91,719984.7999999999,11101111.71,0.4471,12620149.32,0.5082,1109499.9,0.0447,,0.0
1.0,117086653.0,Troy Area SD,Bradford,23894047.47,8060900.39,455870.39,8516770.78,0.3564,14632773.64,0.6124,475468.05,0.0199,269035.0,0.0113
