Cat,AUN,LEA Name,County,Total Revenue,"Local Taxes
(6111-6400)",Local Other (6500-6999),Total Local Revenue 6000 ,Local % of Total Revenue,Total State Revenue 7000,State % of Total Revenue,Total Federal Revenue 8000,Federal % of Total Revenue,Total Other Revenue 9000,Other % of Total Revenue
4.0,105257512.0,Erie Rise Leadership Academy Charter School,Erie,3448102.0,,3046473.0,3046473.0,0.8835,210676.0,0.0611,190953.0,0.0554,,0.0
4.0,105250004.0,Montessori Regional CS,Erie,3806470.71,,3495513.53,3495513.53,0.9183,192738.18,0.0506,118219.0,0.0311,,0.0
4.0,105250001.0,Perseus House CS of Excellence,Erie,7395773.48,,6134389.48,6134389.48,0.8294,567614.53,0.0767,693769.47,0.0938,,0.0
4.0,105252920.0,Robert Benjamin Wiley Community CS,Erie,4338271.51,,4014211.0,4014211.0,0.9253,266028.3,0.0613,58032.21,0.0134,,0.0
4.0,111440001.0,New Day Charter School,Huntingdon,1794343.5499999998,,1592071.93,1592071.93,0.8873,87386.16,0.0487,114885.46,0.064,,0.0
4.0,111315438.0,Stone Valley Community CS,Huntingdon,797921.89,,755229.13,755229.13,0.9465,6705.59,0.0084,35987.17,0.0451,,0.0
4.0,119350001.0,Fell CS,Lackawanna,0.0,,,,,,,,,,
4.0,119355028.0,Howard Gardner Multiple Intelligence CS,Lackawanna,1786435.51,,1840085.0699999998,1840085.07,1.03,68633.44,0.0384,28832.0,0.0161,-151115.0,-0.0846
4.0,113362940.0,La Academia Partnership Charter School,Lancaster,2972633.48,,2199008.0,2199008.0,0.7398,184066.48,0.0619,589559.0,0.1983,,0.0
4.0,121395927.0,Arts Academy CS,Lehigh,4172129.05,,3895724.5,3895724.5,0.9337,152281.55,0.0365,124123.0,0.0298,,0.0
4.0,121394017.0,Circle of Seasons Charter School,Lehigh,1460671.9,,1281099.1600000001,1281099.16,0.8771,58435.74,0.04,21137.0,0.0145,100000.0,0.0685
4.0,175390169.0,Lincoln Leadership Academy Charter School,Lehigh,6056117.48,,5329538.48,5329538.48,0.88,458562.0,0.0757,268017.0,0.0443,,0.0
4.0,121392881.0,Medical Academy CS,Lehigh,2031573.23,,1806300.0799999998,1806300.08,0.8891,124924.15,0.0615,63282.0,0.0311,37067.0,0.0182
