Year,School Name,Subject,Group,Grade,Number Scored,Percent Advanced,Percent Proficient,Percent Basic,Percent Below Basic
2021,WOODLAND HILLS HS,Algebra I,All Students,11,127,6.3,30.7,41.7,21.3
2021,WOODLAND HILLS HS,Algebra I,Historically Underperforming,11,63,7.9,17.5,44.4,30.2
2021,WOODLAND HILLS HS,Biology,All Students,11,160,18.1,28.1,31.3,22.5
2021,WOODLAND HILLS HS,Biology,Historically Underperforming,11,84,13.1,20.2,38.1,28.6
2021,WOODLAND HILLS HS,Literature,All Students,11,15,0,26.7,26.7,46.7
2021,APOLLO-RIDGE HS,Algebra I,All Students,11,58,20.7,43.1,32.8,3.4
2021,APOLLO-RIDGE HS,Algebra I,Historically Underperforming,11,28,17.9,32.1,42.9,7.1
2021,APOLLO-RIDGE HS,Biology,All Students,11,60,28.3,56.7,11.7,3.3
2021,APOLLO-RIDGE HS,Biology,Historically Underperforming,11,30,26.7,46.7,20,6.7
2021,ARMSTRONG JSHS,Algebra I,All Students,11,106,20.8,61.3,14.2,3.8
2021,ARMSTRONG JSHS,Algebra I,Historically Underperforming,11,31,12.9,51.6,25.8,9.7
2021,ARMSTRONG JSHS,Biology,All Students,11,46,80.4,2.2,6.5,10.9
2021,ARMSTRONG JSHS,Biology,Historically Underperforming,11,12,41.7,0,25,33.3
2021,WEST SHAMOKIN JSHS,Algebra I,All Students,11,43,20.9,65.1,14,0
2021,WEST SHAMOKIN JSHS,Algebra I,Historically Underperforming,11,11,27.3,54.5,18.2,0
2021,WEST SHAMOKIN JSHS,Biology,All Students,11,13,100,0,0,0
2021,FREEPORT AREA SHS,Algebra I,All Students,11,122,37.7,42.6,18.9,0.8
2021,FREEPORT AREA SHS,Algebra I,Historically Underperforming,11,30,13.3,50,33.3,3.3
2021,LEECHBURG AREA HS,Algebra I,All Students,11,41,2.4,61,24.4,12.2
2021,LEECHBURG AREA HS,Algebra I,Historically Underperforming,11,19,5.3,36.8,31.6,26.3
2021,LEECHBURG AREA HS,Biology,All Students,11,42,23.8,47.6,26.2,2.4
2021,LEECHBURG AREA HS,Biology,Historically Underperforming,11,20,15,35,45,5
2021,LENAPE TECH,Algebra I,All Students,11,100,5,49,29,17
2021,LENAPE TECH,Algebra I,Historically Underperforming,11,53,3.8,32.1,37.7,26.4
2021,LENAPE TECH,Biology,All Students,11,49,14.3,32.7,24.5,28.6
2021,LENAPE TECH,Biology,Historically Underperforming,11,36,11.1,27.8,33.3,27.8
2021,LENAPE TECH,Literature,All Students,11,16,0,0,43.8,56.3
2021,LENAPE TECH,Literature,Historically Underperforming,11,15,0,0,40,60
2021,ALIQUIPPA JSHS,Algebra I,All Students,11,21,0,19,52.4,28.6
2021,ALIQUIPPA JSHS,Algebra I,Historically Underperforming,11,21,0,19,52.4,28.6
2021,ALIQUIPPA JSHS,Biology,All Students,11,54,0,3.7,38.9,57.4
2021,ALIQUIPPA JSHS,Biology,Historically Underperforming,11,54,0,3.7,38.9,57.4
2021,AMBRIDGE AREA HS,Algebra I,All Students,11,122,10.7,30.3,44.3,14.8
2021,AMBRIDGE AREA HS,Algebra I,Historically Underperforming,11,67,4.5,26.9,47.8,20.9
