Central Bucks SD	District Zip Code	18901
Central Bucks SD	Geographic Size of District (Square Miles)	121.04
Central Cambria SD	District Address (City)	Ebensburg
Central Cambria SD	District Address (Street)	208 Schoolhouse Rd
Central Cambria SD	District Name	Central Cambria SD
Central Cambria SD	District Zip Code	15931
Central Cambria SD	Geographic Size of District (Square Miles)	99.89
Central Columbia SD	District Address (City)	Bloomsburg
Central Columbia SD	District Address (Street)	4777 Old Berwick Rd
Central Columbia SD	District Name	Central Columbia SD
Central Columbia SD	District Zip Code	17815
Central Columbia SD	Geographic Size of District (Square Miles)	78.67
Central Dauphin SD	District Address (City)	Harrisburg
Central Dauphin SD	District Address (Street)	600 Rutherford Rd
Central Dauphin SD	District Name	Central Dauphin SD
Central Dauphin SD	District Zip Code	17109
Central Dauphin SD	Geographic Size of District (Square Miles)	127.35
Central Fulton SD	District Address (City)	McConnellsburg
Central Fulton SD	District Address (Street)	151 E Cherry St
Central Fulton SD	District Name	Central Fulton SD
Central Fulton SD	District Zip Code	17233
Central Fulton SD	Geographic Size of District (Square Miles)	120.56
Central Greene SD	District Address (City)	Waynesburg
Central Greene SD	District Address (Street)	250 S. Cumberland Street
Central Greene SD	District Name	Central Greene SD
Central Greene SD	District Zip Code	15370
Central Greene SD	Geographic Size of District (Square Miles)	169.78
Central Valley SD	District Address (City)	Monaca
Central Valley SD	District Address (Street)	160 Baker Road Extension
Central Valley SD	District Name	Central Valley SD
Central Valley SD	District Zip Code	15061
Central Valley SD	Geographic Size of District (Square Miles)	24.67
Central York SD	District Address (City)	York
Central York SD	District Address (Street)	775 Marion Rd
Central York SD	District Name	Central York SD
Central York SD	District Zip Code	17406
Central York SD	Geographic Size of District (Square Miles)	29.1
Chambersburg Area SD	District Address (City)	Chambersburg
Chambersburg Area SD	District Address (Street)	435 Stanley Ave
Chambersburg Area SD	District Name	Chambersburg Area SD
Chambersburg Area SD	District Zip Code	17201
Chambersburg Area SD	Geographic Size of District (Square Miles)	249.31
Charleroi SD	District Address (City)	Charleroi
Charleroi SD	District Address (Street)	125 Fecsen Drive
Charleroi SD	District Name	Charleroi SD
Charleroi SD	District Zip Code	15022
Charleroi SD	Geographic Size of District (Square Miles)	26.06
Chartiers Valley SD	District Address (City)	Pittsburgh
Chartiers Valley SD	District Address (Street)	2030 Swallow Hill Rd
Chartiers Valley SD	District Name	Chartiers Valley SD
Chartiers Valley SD	District Zip Code	15220
Chartiers Valley SD	Geographic Size of District (Square Miles)	19.22
Chartiers-Houston SD	District Address (City)	Houston
Chartiers-Houston SD	District Address (Street)	2020 W Pike St
Chartiers-Houston SD	District Name	Chartiers-Houston SD
Chartiers-Houston SD	District Zip Code	15342
Chartiers-Houston SD	Geographic Size of District (Square Miles)	25.02
Cheltenham SD	District Address (City)	Elkins Park
Cheltenham SD	District Address (Street)	2000 Ashbourne Rd
Cheltenham SD	District Name	Cheltenham SD
Cheltenham SD	District Zip Code	19027
Cheltenham SD	Geographic Size of District (Square Miles)	9.05
Chester-Upland SD	District Address (City)	Chester
Chester-Upland SD	District Address (Street)	Attn: Administration Suite
Chester-Upland SD	District Name	Chester-Upland SD
Chester-Upland SD	District Zip Code	19013
Chester-Upland SD	Geographic Size of District (Square Miles)	8.08
Chestnut Ridge SD	District Address (City)	Fishertown
Chestnut Ridge SD	District Address (Street)	3281 Valley Road
Chestnut Ridge SD	District Name	Chestnut Ridge SD
Chestnut Ridge SD	District Zip Code	15539
Chestnut Ridge SD	Geographic Size of District (Square Miles)	224.64
Chichester SD	District Address (City)	Aston
Chichester SD	District Address (Street)	401 Cherry Tree Rd
Chichester SD	District Name	Chichester SD
Chichester SD	District Zip Code	19014
Chichester SD	Geographic Size of District (Square Miles)	10.77
Clairton City SD	District Address (City)	Clairton
Clairton City SD	District Address (Street)	502 Mitchell Ave
Clairton City SD	District Name	Clairton City SD
Clairton City SD	District Zip Code	15025
Clairton City SD	Geographic Size of District (Square Miles)	3.02
Clarion Area SD	District Address (City)	Clarion
Clarion Area SD	District Address (Street)	221 Liberty St
Clarion Area SD	District Name	Clarion Area SD
Clarion Area SD	District Zip Code	16214
Clarion Area SD	Geographic Size of District (Square Miles)	69.74
Clarion-Limestone Area SD	District Address (City)	Strattanville
Clarion-Limestone Area SD	District Address (Street)	4091 C-L School Road
Clarion-Limestone Area SD	District Name	Clarion-Limestone Area SD
Clarion-Limestone Area SD	District Zip Code	16258
Clarion-Limestone Area SD	Geographic Size of District (Square Miles)	117.29
Claysburg-Kimmel SD	District Address (City)	Claysburg
Claysburg-Kimmel SD	District Address (Street)	531 Bedford St
Claysburg-Kimmel SD	District Name	Claysburg-Kimmel SD
Claysburg-Kimmel SD	District Zip Code	16625
Claysburg-Kimmel SD	Geographic Size of District (Square Miles)	56.44
Clearfield Area SD	District Address (City)	Clearfield
Clearfield Area SD	District Address (Street)	2831 Washington Avenue
Clearfield Area SD	District Name	Clearfield Area SD
Clearfield Area SD	District Zip Code	16830
Clearfield Area SD	Geographic Size of District (Square Miles)	347.61
Coatesville Area SD	District Address (City)	Thorndale
Coatesville Area SD	District Address (Street)	3030 CG Zinn Rd
Coatesville Area SD	District Name	Coatesville Area SD
