MCKEESPORT AREA SD,Mc Keesport,3590 O'Neil Boulevard,15132,14.53
MECHANICSBURG AREA SD,Mechanicsburg,600 S Norway St,17055,16.01
MERCER AREA SD,Mercer,545 W Butler St,16137,88.35
METHACTON SD,Eagleville,1001 Kriebel Mill Rd,19403,31.68
MEYERSDALE AREA SD,Meyersdale,309 Industrial Park Road,15552,122.93
MID VALLEY SD,Throop,52 Underwood Rd,18512,15.26
MIDD-WEST SD,Middleburg,568 E Main St,17842,226.68
MIDDLETOWN AREA SD,Middletown,55 W Water St,17057,17.23
MIDLAND BOROUGH SD,Midland,173 7th St,15059,1.99
MIFFLIN COUNTY SD,Lewistown,201 Eighth St - Highland Park,17044,364.73
MIFFLINBURG AREA SD,Mifflinburg,178 Maple St,17844,214.53
MILLCREEK TOWNSHIP SD,Erie,3740 W 26th St,16506,29.3
MILLERSBURG AREA SD,Millersburg,799 Center St,17061,32
MILLVILLE AREA SD,Millville,330 East Main St,17846,91.2
MILTON AREA SD,Milton,700 Mahoning St,17847,86.28
MINERSVILLE AREA SD,Minersville,Battlin Miner Dr & Low Rd,17954,55.47
MOHAWK AREA SD,New Castle,385 Mohawk School Road,16102,102.99
MONESSEN CITY SD,Monessen,1275 Rostraver St,15062,3.02
MONITEAU SD,West Sunbury,1810 W Sunbury Rd,16061,150.79
MONTGOMERY AREA SD,Montgomery,120 Penn St,17752,86.27
MONTOUR SD,Mc Kees Rocks,225 Clever Road,15136,21.5
MONTOURSVILLE AREA SD,Montoursville,50 N Arch St,17754,188.38
MONTROSE AREA SD,Montrose,273 Meteor Way,18801,227.83
MOON AREA SD,Moon Township,8353 University Boulevard,15108,26.52
MORRISVILLE BOROUGH SD,Morrisville,550 W Palmer St,19067,1.97
MOSHANNON VALLEY SD,Houtzdale,4934 Green Acre Rd,16651,94.84
MOUNT CARMEL AREA SD,Mount Carmel,600 W 5th St,17851,23.58
MOUNT PLEASANT AREA SD,Mount Pleasant,271 State Street,15666,106.57
MOUNT UNION AREA SD,Mount Union,603 North Industrial Drive,17066,149.54
MOUNTAIN VIEW SD,Kingsley,11748 State Route 106,18826,193.09
MT LEBANON SD,Pittsburgh,7 Horsman Dr,15228,6.08
MUHLENBERG SD,Reading,801 Bellevue Avenue,19605,12.8
MUNCY SD,Muncy,206 Sherman St,17756,37.16
NAZARETH AREA SD,Nazareth,One Education Plaza,18064,49.25
NESHAMINY SD,Langhorne,2001 Old Lincoln Hwy,19047,27.93
NESHANNOCK TOWNSHIP SD,New Castle,3834 Mitchell Rd,16105,17.42
NEW BRIGHTON AREA SD,New Brighton,3225 43rd St,15066,12.28
NEW CASTLE AREA SD,New Castle,420 Fern St,16101,14.01
NEW HOPE-SOLEBURY SD,New Hope,180 W Bridge St,18938,28.57
NEW KENSINGTON-ARNOLD SD,New Kensington,707 Stevenson Blvd,15068,5.03
NEWPORT SD,Newport,420 Fickes Lane,17074,71.54
NORRISTOWN AREA SD,Norristown,401 N Whitehall Rd,19403,15.89
NORTH ALLEGHENY SD,Pittsburgh,200 Hillvue Lane,15237,46.48
NORTH CLARION COUNTY SD,Tionesta,10439 Route 36,16353,112.29
NORTH EAST SD,North East,50 E Division St,16428,43.69
NORTH HILLS SD,Pittsburgh,135 6th Ave,15229,15.48
NORTH PENN SD,Lansdale,401 E Hancock St,19446,42.73
NORTH POCONO SD,Moscow,701 Church St,18444,192.04
NORTH SCHUYLKILL SD,Ashland,15 Academy Lane,17921,72.07
NORTH STAR SD,Boswell,1200 Morris Ave,15531,104.4
NORTHAMPTON AREA SD,Northampton,2014 Laubach Avenue,18067,97.13
NORTHEAST BRADFORD SD,Rome,526 Panther Lane,18837,166.82
NORTHEASTERN YORK SD,Manchester,41 Harding St,17345,50.49
NORTHERN BEDFORD COUNTY SD,Loysburg,152 NBC Drive,16659,111.31
NORTHERN CAMBRIA SD,Northern Cambria,601 Joseph St,15714,62.44
NORTHERN LEBANON SD,Fredericksburg,345 School Dr,17026,143.93
NORTHERN LEHIGH SD,Slatington,1201 Shadow Oaks Ln,18080,25.93
NORTHERN POTTER SD,Ulysses,745 Northern Potter Road,16948,228.75
NORTHERN TIOGA SD,Elkland,110 Ellison Road,16920,330.98
NORTHERN YORK COUNTY SD,Dillsburg,650 S Baltimore St,17019,84.44
NORTHGATE SD,Pittsburgh,591 Union Ave,15202,1.81
NORTHWEST AREA SD,Shickshinny,243 Thorne Hill Rd,18655,119.43
NORTHWESTERN LEHIGH SD,New Tripoli,6493 Route 309,18066,107.22
NORTHWESTERN SD,Albion,100 Harthan Way,16401,121.31
NORWIN SD,North Huntingdon,281 McMahon Dr,15642,28.48
OCTORARA AREA SD,Atglen,228 Highland Rd Suite 1,19310,79.79
OIL CITY AREA SD,Oil City,825 Grandview Road,16301,79.94
OLD FORGE SD,Old Forge,300 Marion St,18518,3.42
OLEY VALLEY SD,Oley,17 Jefferson St,19547,64.03
OSWAYO VALLEY SD,Shinglehouse,277 S. Oswayo Street,16748,122.56
OTTO-ELDRED SD,Duke Center,143 R L Sweitzer Dr,16729,87.62
OWEN J ROBERTS SD,Pottstown,901 Ridge Rd,19465,98.79
OXFORD AREA SD,Oxford,125 Bell Tower Lane,19363,81.48
