name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Lower Dauphin HS,4.98,0,1.97,1.63,8.58,1.8,0,4.46,23.35,1.8,50.82,1165,14.94,No,82.83
Lower Dauphin MS,5.01,0.12,3.26,1.51,8.73,2.44,0,6.52,27.01,2.21,48.31,859,18.74,No,81.37
Lower Gwynedd El Sch,7.16,0,13.26,6.28,3.14,0,0,4.89,15.36,1.75,45.72,573,14.66,No,70.16
Lower Macungie MS,6.52,0,3.66,6.43,18.57,0,0.36,6.25,34.73,1.7,47.59,1120,20.89,No,64.46
Lower Merion HS,4.66,0,10.78,12.12,5.36,0.06,0.06,13.65,15.43,1.47,48.34,1568,15.18,No,67.03
Lower Moreland HS,1.11,0,18.56,0.99,2.72,1.61,0.37,7.92,16.34,3.09,47.4,808,16.96,No,76.24
Lower Nazareth El Sch,3.93,0.28,8.43,4.21,11.24,0,0,3.65,20.51,4.78,53.65,356,3.09,No,71.91
Lower Pottsgrove El Sch,12.85,0,1.33,18.46,8.42,1.33,0.15,2.36,45.79,1.18,52.73,677,26,Yes,58.79
Loyalsock Twp MS,10.79,0,1.75,6.71,4.08,0,0,1.75,44.61,0.58,51.31,343,17.78,No,76.68
Loyalsock Twp SHS,6.68,0,3.97,7.31,3.55,0,0,2.51,36.33,1.04,50.52,479,16.28,No,78.5
Loyalsock Valley El Sch,3.85,0.43,0,1.71,2.99,0.85,0,0,35.9,0,52.56,234,14.53,Yes,91.03
Ludlow James R Sch,6.64,0,0.37,80.81,11.81,0,0,0,84.13,1.48,42.07,271,34.69,Yes,0.37
Luis A. Ramos El Sch,6.94,0,0.48,9.35,79.84,0,0,0.65,79.52,21.61,48.71,620,16.29,Yes,3.39
Lurgan El Sch,3.2,0,0.8,0,3.2,0.8,0,0.8,64.8,0,48.8,125,9.6,Yes,92.8
Luther W Low El Sch,1.91,0,0,0.96,4.78,0.96,0,1.44,45.45,0,47.85,209,24.4,Yes,92.34
Lycoming Career and Technology Center,1.08,0.36,0.36,2.52,1.08,0.36,0,0.36,37.41,0,35.61,278,26.98,No,94.6
Lycoming Valley Intrmd Sch,14.26,0,0.72,9.39,2.89,0,0,0.9,64.8,0,46.39,554,16.79,Yes,72.74
Lyndwood El Sch,2.07,0,0.69,14.48,26.21,1.38,0,0.69,64.14,2.76,50.34,145,24.14,Yes,56.55
Lynnewood El Sch,4.6,0,5.45,5.28,3.58,0,0,5.28,14.31,1.36,50.09,587,13.8,Yes,81.09
Lyter El Sch,3.4,0,0.24,0.97,1.7,0,0.24,0.97,33.74,0,52.67,412,15.29,Yes,93.45
MaST Community CS II,5.27,0.15,11.53,29.31,20.38,0.23,0.08,0,53.74,3.05,47.4,1310,17.56,Yes,33.28
MaST Community CS III,5.6,0.79,8.26,38.64,23.8,0,0.1,0,100,5.7,50.54,1017,14.06,Yes,22.81
Macungie El Sch,1.4,0,2,2.8,12,0,0,3.6,24.8,0.8,50.2,500,19.2,Yes,81.8
Mahanoy Area El Sch,1.36,0,0.39,2.34,26.12,0,0.19,0.97,74.66,3.51,52.63,513,23.59,Yes,69.59
Mahanoy Area JSHS,0.78,0.26,0,3.13,19.79,0,0,2.86,71.09,2.34,48.96,384,19.01,No,76.04
Mahantongo El Sch,0,0,0,1.91,1.27,0,0,1.27,25.48,0,42.04,157,13.38,Yes,96.82
Main Street Elementary School,7.72,0.41,0.81,1.22,2.44,3.66,0,1.22,69.92,1.63,48.78,246,14.63,Yes,87.4
Main Street Sch,0.96,0,0,88.18,8.63,0,0,0,82.75,6.39,45.05,313,16.61,Yes,2.24
Makefield El Sch,7.99,0,2.2,14.33,8.26,0,0,3.86,19.28,4.96,51.79,363,17.63,No,67.22
Manavon El Sch,4.02,0,4.02,3.82,10.84,0.6,0,5.62,26.31,5.82,49,498,16.06,No,77.31
Manchester Academic CS,4.18,0,0,94.26,0.26,0,0,0,73.11,0,49.35,383,12.01,Yes,1.31
Manheim Central MS,3.69,0,1.9,1.34,9.61,0.11,0.11,5.03,38.21,1.56,48.6,895,17.09,Yes,83.35
Manheim Central SHS,2.88,0.1,3.19,1.65,8.23,0.21,0.31,5.86,32.61,0.62,47.63,972,15.84,No,83.64
Manheim El Sch,1.3,0,0,0,0.87,0,0,0.87,24.24,0,50.22,231,14.29,No,97.84
Manheim Twp HS,5.65,0,11.08,6.14,14.12,0.54,0,8.37,30.15,2.99,48.51,1841,12.11,Yes,63.01
Manheim Twp MS,5.86,0.21,7.74,6.28,15.9,0.21,0,7.74,28.87,3.14,49.58,956,14.44,Yes,64.02
Manoa El Sch,6.9,0,7.61,4.31,3.88,0.29,0.14,2.87,16.95,1.44,48.56,696,15.95,Yes,77.16
Manor El Sch,5.99,0,2.76,4.61,6.91,0,0,0.23,37.33,2.76,48.62,434,20.74,Yes,79.72
Manor Middle School,3.15,0,4.41,8.4,21.43,0,0.42,3.36,49.16,4.62,49.16,476,13.66,Yes,62.18
Maple Avenue MS,2.93,0,0,1.47,3.18,1.71,0,2.69,27.87,0.49,46.94,409,13.94,No,92.42
Maple Glen El Sch,5.81,0,13.26,3.72,3.49,0.47,0,9.77,10.23,1.86,51.86,430,8.37,No,73.72
Maple Manor El/MS,0.91,0.3,0.91,1.93,86.79,0,0,0.61,71.24,28.35,49.7,984,11.69,Yes,9.15
Maple Point MS,3.88,0.23,4.64,7.6,7.45,0,0,7.15,28.97,1.98,49.35,1315,22.36,No,76.2
Maple Ridge El Sch,4.71,0.78,0.2,0,2.55,0.98,0,0,52.75,0.98,44.51,510,17.25,Yes,91.76
Mapletown JSHS,0.37,0,0,0.74,0.37,0,0,1.11,53.87,0,47.6,271,21.03,No,98.52
Maplewood El Sch,3.9,0.23,0,0.23,1.61,0.23,0,0.46,50.69,0,44.04,436,11.24,Yes,94.04
Maplewood JSHS,3.28,0,0.22,0.44,0.44,0,0,1.75,49.78,0,49.56,458,17.9,No,95.63
March El Sch,4.15,0.35,3.46,14.53,29.41,0,0,1.38,51.56,7.27,51.21,289,16.61,Yes,48.1
Marclay Sch,4.17,0,0,0,0,0,0,1.04,88.54,0,48.96,96,10.42,Yes,95.83
Marcus Hook El Sch,18.66,0,1.06,27.82,13.03,0,0.35,0,80.99,1.76,53.87,284,15.14,Yes,39.08
Margaret Ross El Sch,7.76,0,0,5.94,3.65,0.46,0.46,0.46,33.79,0,53.88,219,15.07,Yes,82.19
Mariana Bracetti Academy CS,1.82,0.34,0.67,19.2,75.34,0.2,0,0,100,9.77,51.21,1484,20.15,Yes,2.63
Marion Center Area JR/SR HS,0.17,0,0.17,0.68,0.51,0.34,0,2.05,47.78,0,48.29,586,20.65,No,98.46
Marion El Sch,4.87,0,0.34,3.87,1.51,0.5,0,0.5,56.47,0,49.08,595,15.63,Yes,89.41
Marion-Walker El Sch,1.8,0.26,0,0,1.8,0.51,0,0.26,15.17,1.54,51.41,389,12.08,No,96.14
Maritime Academy CS,4.07,0,4.59,20.23,35.14,0,0.1,0,78.31,8.03,47.34,959,17,Yes,35.87
Markham El Sch,3.93,0,1.31,0.66,2.62,0,0,3.28,4.92,1.97,47.21,305,11.48,No,91.48
Marlborough El Sch,2.63,0.24,1.43,3.1,5.49,2.15,0.24,0.95,20.29,1.19,47.02,419,8.11,No,86.87
Marple Newtown SHS,1.81,0,10.33,3.62,2.36,0,0,6.97,25.91,1.27,46.92,1104,18.03,No,81.88
Mars Area Centennial Sch,0.22,0,2.41,1.31,1.53,0,0,2.84,10.94,0.22,48.36,457,14.66,No,94.53
Mars Area El Sch,0.13,0.13,2.38,1,1.63,0,0,1.75,11.15,0.75,47.62,798,15.04,No,94.74
Mars Area MS,0.58,0,1.95,1.17,1.36,0,0,4.67,7.98,0.58,50.39,514,13.42,No,94.94
Mars Area Primary Ctr,0.99,0,2.98,0.2,1.59,0,0,0,4.37,0.99,50.3,503,4.57,Yes,94.23
Mars Area SHS,0.29,0,1.55,0.58,1.26,0,0,5.71,4.65,0.1,51.69,1033,11.91,No,96.32
Marsh Creek Sixth Grade Center,3.89,0,18.81,2.69,4.54,0,0,4.45,9.27,0.56,49.77,1079,16.4,No,70.06
Marshall Academy,3.51,0,3.51,50.88,38.6,0.88,0,0,88.6,19.3,36.84,114,40.35,Yes,3.51
Marshall El Sch,7.01,0,0,2.21,3.69,0,0,4.06,69.37,0,49.45,271,26.57,Yes,87.08
Marshall John Sch,4.75,0.34,0,61.02,28.14,0,0,0,88.81,9.83,49.83,295,12.54,Yes,5.76
Marshall MS,3.27,0.13,28.4,1.57,2.36,0.13,0,15.18,5.76,0.52,44.37,764,10.21,No,64.27
Marshall Math Science Academy,3.03,0,4.96,51.52,35.54,0,0,1.1,81.54,4.41,58.95,363,1.1,Yes,4.96
Marshall Street El Sch,9.64,0,0.69,33.05,42.86,0,0,0.17,74.87,13.43,46.82,581,13.94,Yes,13.77
Marshall Thurgood,6.05,0,4.28,59.44,28.91,0,0,0,83.48,16.22,48.23,678,26.55,Yes,1.33
Martic El Sch,2.01,0,0,3.01,5.69,1.34,0,3.34,42.81,0.33,43.48,299,12.04,No,89.3
Marticville MS,3.99,0.27,1.6,2.66,9.57,0.27,0,6.12,42.29,1.06,53.19,376,19.68,No,81.91
Martin F Quinn Pittston Area Primary Ctr,6.02,0,0.23,4.86,8.8,0,0,0,57.18,0,46.3,432,6.48,Yes,80.09
Martin Meylin MS,3.96,0.29,1.62,2.64,11.45,0.15,0,5.73,21.59,1.32,46.99,681,11.89,Yes,80.03
Martin Sch,25,0,0.69,31.94,3.47,0,0,0,67.36,0,54.17,144,11.11,Yes,38.89
Martinsburg El Sch,3.02,0,0.55,0.55,1.92,0.27,0,0.82,56.32,1.37,50.55,364,19.78,Yes,93.96
Marvine El Sch,0.37,0,1.1,11.76,82.72,0,0,0.74,94.12,11.4,48.53,272,13.6,Yes,4.04
Mary C Howse El Sch,4.79,0,32.23,4.46,5.45,0.99,0,1.49,10.58,5.79,50.91,605,11.24,No,53.06
Mary D Lang Kdg Ctr,3.35,0,1.49,1.49,47.96,0,0,0,41.64,26.77,49.81,269,14.5,Yes,45.72
Marzolf Primary Sch,6.89,0.33,0.98,3.28,1.64,0,0,1.31,43.61,0,43.61,305,16.07,Yes,86.89
Masontown El Sch,9.55,0,0.45,6.82,0.45,0,0,0.91,66.82,0,48.64,220,23.64,Yes,82.73
Mastbaum Jules E Area Vocational-Technical School,3.47,0.15,1.51,43.89,45.55,0,0,0,80.84,14.33,42.53,663,23.83,Yes,5.43
Masterman Julia R Sec Sch,8.97,0.17,26.99,14.45,5.9,0,0.08,18.02,21.18,0.08,53.49,1204,2.57,No,43.44
Mastery CHS-Lenfest Campus,4.21,0.32,0.49,74.11,18.77,0,0,0,77.02,2.27,48.06,618,26.7,Yes,2.1
Mastery CS - Mann Campus,4.4,0.18,0.37,91.58,3.11,0,0.18,0,73.63,0.92,50.92,546,18.86,Yes,0.18
Mastery CS - Shoemaker Campus,1.79,0.13,0.38,94.24,3.2,0,0.13,0,82.07,0.9,49.81,781,27.14,Yes,0.13
Mastery CS -Thomas Campus,4.18,0.3,20.97,33.97,27.74,0,0,0,76.22,20.52,48.33,1316,19.3,Yes,12.84
Mastery CS John Wister Elementary,2.38,0.2,0,91.49,5.35,0,0,0,89.7,0.59,49.11,505,24.95,Yes,0.59
Mastery CS-Cleveland Elementary,2.23,0.97,0.14,89.55,6.13,0,0,0.14,89,1.25,48.05,718,23.26,Yes,0.97
Mastery CS-Clymer Elementary,1.68,0.21,0,89.92,7.98,0,0,0,84.45,1.47,48.11,476,20.8,Yes,0.21
Mastery CS-Francis D. Pastorius Elementary,3.19,0.8,0,91.05,4.47,0,0.16,0,82.75,0.16,48.88,626,23.48,Yes,0.32
Mastery CS-Gratz Campus,2.33,0.45,0.3,89.04,7.66,0,0,0,86.34,1.43,45.5,1332,34.01,Yes,0.23
Mastery CS-Hardy Williams,0.73,0.16,0.08,96.19,2.59,0,0,0.08,78.38,3.81,51.82,1235,23.89,Yes,0.24
Mastery CS-Harrity Campus,1.88,0.35,0.47,93.99,2.59,0,0,0,83.63,1.41,50.06,849,17.67,Yes,0.71
Mastery CS-Pickett Campus,1.71,0.54,0,93.89,3.64,0,0,0,90.89,0.21,48.34,933,27.22,Yes,0.21
Mastery CS-Smedley Campus,3.7,0.64,0.26,60.97,31.12,0,0,0.13,85.97,5.99,49.23,784,23.21,Yes,3.32
Mastery Prep Elementary CS,3.69,0.25,0.49,86.7,7.64,0,0.25,0,81.28,2.22,49.75,406,14.53,Yes,0.99
Math Civics and Sciences CS,1.09,0,0,97.63,1.28,0,0,0,78.48,0,50.94,1013,4.74,Yes,0
Mathematics Science & Technology Community CS,4.45,0.13,10.05,11,12.08,0.27,0,0,41.03,2.63,50.67,1482,15.32,Yes,62.28
Maureen M Welch El Sch,1.98,0,8.1,0.99,2.96,0,0,3.36,9.09,1.98,47.63,506,12.65,Yes,85.97
Maxwell El Sch,6.28,0,0.72,1.69,0,1.21,0,1.93,19.32,0.24,54.35,414,12.32,No,91.3
Mayfair Sch,3.06,0.19,34.73,11.37,27.99,0,0.32,0.23,67.92,39.69,47.35,2154,8.31,Yes,22.33
Mazie Gable El Sch,5.79,0,0.4,4.59,10.18,2.4,0,0.4,67.66,2.2,52.1,501,16.37,Yes,79.04
McAdoo-Kelayres El/MS,1.65,0.13,1.27,2.03,49.81,0,0,1.27,45.75,9.25,44.99,789,16.86,Yes,45.12
McAnnulty El Sch,4.52,0,28.28,4.07,1.81,0.68,0.23,0,35.29,8.82,52.94,442,4.07,Yes,61.09
McCall Gen George A Sch,9.78,0,48.18,9.93,4.23,0,0.15,1.9,37.23,20.73,47.01,685,11.24,Yes,27.74
McCaskey Campus,4.1,0.04,4.63,19.29,57.05,0.07,0,2.54,86.01,19.25,48.51,2680,20.9,Yes,14.89
McClellan El Sch,4.53,0.76,10.83,2.52,1.51,0,0,0,21.91,3.02,49.12,397,4.03,No,79.85
McCloskey John F Sch,2.72,0,0,93.96,3.02,0,0,0,69.79,0.91,42.6,331,16.31,Yes,0.3
McClure Alexander K Sch,1.4,0.18,0.18,29.6,67.08,0,0,0,86.34,18.91,51.31,571,8.76,Yes,1.58
McConnellsburg El Sch,5.07,0.22,0,1.1,4.19,0,0,0.44,53.3,0.44,44.93,454,14.76,Yes,89.43
McConnellsburg HS,0.82,0,0.82,2.45,1.63,0,0,2.86,41.22,0,46.53,245,14.29,No,94.29
McConnellsburg MS,0.87,0,0.43,2.16,3.03,0,0,1.73,49.78,0.43,48.92,231,9.96,No,93.51
McCormick El Sch,2.11,0,5.26,1.58,3.68,0,0,3.16,8.42,0.53,42.63,190,10,No,87.37
McCullough El Sch,3.06,0,0.94,2.12,0,0,0.24,2.35,21.18,0,48,425,16.24,Yes,93.65
McDaniel Delaplaine Sch,4.65,0,4.32,87.04,3.32,0,0,0,84.05,2.99,44.19,301,18.6,Yes,0.66
McDonald El Sch,4.46,0.25,3.06,5.99,24.71,0.13,0.25,1.66,52.36,12.99,51.21,785,12.23,Yes,61.27
McDowell HS,4.65,0.18,2.87,3.56,3.74,0.5,0.09,8.11,39.06,0.68,48.68,2194,20.37,No,84.91
McGuffey HS,2.54,0.42,0.42,0.21,1.06,0.21,0.21,3.17,39.53,0,48.84,473,21.78,No,95.14
McGuffey MS,1.65,0,0.28,0,0.83,0.55,0,2.48,39.39,0,50.69,363,23.14,No,97.25
McIntyre El Sch,2.46,0,15.23,1.85,4.77,0.62,0.31,2.62,23.38,9.85,45.69,650,13.08,No,75.38
McKean El Sch,2.81,0,0,0.31,1.56,0,0,1.88,28.75,0,53.75,320,20.94,Yes,95.31
McKee El Sch,4.49,0.82,3.27,2.24,1.84,0,0,0.2,28.37,0,50.82,490,14.29,Yes,87.35
McKeesport Area SHS,10.84,0,0.2,44.27,2.15,0,0,0.41,60.22,0.2,48.67,978,24.74,No,42.54
McKeesport Area Technology Center,14.9,0,0.48,43.27,0.96,0,0,0,58.17,0.48,47.6,208,25.48,No,40.38
McKinley El Sch,13.09,0.41,7.36,46.63,12.47,0,0,0.41,80.78,10.22,51.12,489,19.84,Yes,20.04
McKinley Sch,7.28,0,6.56,12.84,6.56,0,0.14,6.7,21.4,1.71,49.22,701,16.55,No,66.62
McKinley William Sch,0.8,0,1.86,46.28,49.47,0,0.27,0,91.22,9.57,42.82,376,24.73,Yes,1.33
McKnight El Sch,4.92,0.13,6.48,1.04,3.37,0.13,0.13,3.5,13.34,4.66,46.5,772,12.69,Yes,83.94
McMichael Morton Sch,3.17,0.32,0,94.92,0.95,0,0.32,0,90.79,0.32,47.62,315,26.35,Yes,0.32
McMurray El Sch,2.58,0.11,2.92,0.11,2.81,2.47,0.11,4.61,6.07,0.56,49.21,890,11.91,Yes,91.35
McNichols Plaza,5.08,0,7.49,11.23,49.47,0,0,1.07,78.61,8.29,44.65,374,15.51,Yes,26.74
McQuistion El Sch,3.57,0.71,0.24,1.19,4.05,0,0.24,1.19,59.29,0.71,51.19,420,19.76,Yes,90
Meade Gen George C Sch,2.35,0,0.88,95.01,1.47,0,0,0,90.03,0.59,43.7,341,20.53,Yes,0.29
Meadville Area SHS,5.67,0.63,1.01,6.81,2.4,0.13,0.13,3.78,48.8,0.5,44.64,793,20.93,No,83.35
Meadville MS,7.92,0.5,0.74,5.94,2.97,0,0,2.72,75.25,0,43.56,404,21.53,No,81.93
Mechanicsburg Area SHS,4.27,0,3.61,9.84,7.14,0.16,0.08,2.71,29.61,3.45,46.92,1219,15.42,No,75.06
Mechanicsburg MS,4.76,0.29,2.43,9.51,7.86,0.39,0,2.72,36.6,4.17,49.81,1030,17.18,No,75.15
Media El Sch,9.85,0.22,7.88,5.25,3.06,0,0,2.84,12.25,3.06,50.11,457,7.22,Yes,73.74
Meehan Austin MS,9.46,0.29,4.73,34.67,27.36,0,0,0,72.64,13.04,48.85,698,19.91,Yes,23.5
Mehoopany Primary Center,1.56,1.56,0,0,1.56,0,0,0,95.31,0,51.56,64,7.81,Yes,95.31
Mellon El Sch,2.22,0,0,0.99,1.23,2.22,0.49,1.23,29.38,0.49,48.4,405,15.06,No,95.06
Mellon MS,4.67,0.16,6.23,2.02,3.89,0.47,0,6.23,14.02,0.47,51.56,642,13.71,No,83.02
Melrose Sch,3.06,0,4.14,52.07,36.94,0.72,0,0.18,85.23,22.34,50.27,555,7.75,Yes,3.78
Memorial El Sch,5.46,0.48,2.61,8.08,8.08,0,0,1.9,52.73,1.66,50.59,421,14.96,Yes,75.3
Memphis Street Academy CS @ JP Jones,8.96,0,1.12,25.12,61.28,0,0,0,66.56,23.2,46.4,625,22.08,Yes,3.52
Menallen Sch,9.54,0,0,4.93,1.97,0,0.33,0.33,99.67,0.33,42.11,304,26.64,Yes,83.22
Mendon El Sch,4.23,0,0,0,0,0,0,0,50.7,0,51.17,213,18.78,Yes,95.77
Mercer Area El Sch,3.82,0,0.8,0.8,0.6,1.21,0,1.41,42.86,0.2,47.69,497,26.96,Yes,93.96
Mercer Area MS,4.12,0,0.59,0.59,1.18,0,0,5.88,43.53,0,44.71,170,24.12,No,93.53
Mercer Area SHS,3.18,0,0.32,0,2.23,0.64,0,7.32,39.49,0,51.59,314,24.2,No,94.27
Mercer County Career Center,2,0,0,3.74,0.5,0.25,0,0.75,52.37,0,38.4,401,36.91,No,93.77
Mercersburg El Sch,4.8,0,0.8,1.6,2,0,0,0.4,43.6,2,48.4,250,1.2,No,90.8
Meredith William M Sch,11.29,0,10.75,5.28,7.47,0,0.36,2.91,13.3,0.73,48.09,549,6.92,No,64.85
Merion El Sch,10.36,0,16.41,3.63,3.97,0.17,0,10.02,9.67,6.04,47.67,579,13.3,Yes,65.63
Methacton HS,5.95,0.26,14.67,4.4,4.27,0.06,0.13,8.99,14.09,0.9,49.19,1547,17.71,No,70.33
Metzgar El Sch,2.99,0,0,1.33,4.65,0.33,0,2.99,44.85,1.66,53.16,301,22.26,Yes,91.03
Meyersdale Area El Sch,0.64,0.32,0,1.29,0.96,0,0.32,0.64,57.88,0.32,43.41,311,12.22,Yes,96.46
Meyersdale Area HS,1.05,0,0,1.75,0,0,0,1.4,54.2,0,48.95,286,18.88,No,97.2
Meyersdale Area MS,0,0,0,1.65,1.65,0,0,1.1,53.85,0.55,54.95,182,18.13,No,96.7
Mid Valley El Ctr,10.8,0,0.72,2.88,8.33,0,0.31,0.31,49.79,2.47,47.02,972,12.14,Yes,76.95
Mid Valley Secondary Center,6.89,0.12,0.71,2.97,8.67,0,0.12,1.66,50.24,2.02,47.03,842,22.68,No,80.52
Midd-West HS,0.62,0.12,0.86,1.23,0.49,0.49,0,6.28,44.33,0,48.03,812,20.44,No,96.67
Midd-West MS,0.34,0,0.34,0,1.68,0.34,0,5.72,44.78,0,48.15,297,21.89,No,97.64
Middle Bucks Institute of Technology,0.83,0.24,1.9,2.85,13.18,0,0,1.66,27.43,2.61,35.63,842,42.52,No,81
Middle Paxton El Sch,4.84,0,0.4,2.82,4.03,3.63,0,1.61,24.6,0.81,45.97,248,11.69,No,87.9
Middle Smithfield El Sch,13.54,2.6,1.3,25,17.97,0,0.52,1.04,63.02,4.95,46.61,384,25.52,Yes,39.06
Middle Years Alternative,3.05,0.38,10.69,81.68,2.67,0,0,0.38,77.48,8.4,51.53,262,18.7,Yes,1.53
Middleburg El Sch,1.2,0,0.2,1,0.4,0,0,1,50,0,45.82,502,14.54,Yes,97.21
Middlesex El Sch,7.04,0.29,2.93,3.81,7.62,4.11,0,0,44.57,6.16,42.82,341,15.84,Yes,78.3
Middletown Area HS,10.98,0,3.05,9.15,16.01,0,0,1.68,44.36,2.44,48.93,656,16.01,No,60.82
Middletown Area MS,11.53,0,1.58,9.64,18.01,0,0,1.42,52.92,3.32,49.29,633,18.48,No,59.24
Midland El/MS,12.11,0,1.56,22.27,3.91,0,0,0,63.67,1.95,46.88,256,11.72,Yes,60.16
Mifflin Co HS,1.73,0.09,0.86,1.9,3.45,1.55,0,0.86,41.36,0.86,46.89,1158,14.77,No,91.97
Mifflin Co JHS,2.29,0.13,0.27,2.02,4.18,1.48,0,1.21,45.15,1.35,47.04,742,13.21,No,91.11
Mifflin Co MS,1.6,0,0.4,2,5.07,2,0,1.6,52,0.93,48.93,750,18.4,No,90.93
Mifflin County Academy of Science and Technology,1.75,0.29,0,0.87,4.66,0,0.29,0.58,55.98,2.04,36.44,343,18.66,No,92.13
Mifflin Park El Sch,3.58,0.42,4.21,4,37.68,0.42,0,0.84,52.21,7.79,45.89,475,17.05,Yes,50.11
Mifflin Thomas Sch,7.73,0.27,0.27,74.4,5.87,0,0,0.8,70.67,0.53,48.53,375,22.13,Yes,11.47
Mifflinburg Area Intrmd Sch,1.64,0.23,0,1.17,4.44,0,0.23,3.5,46.96,0.7,48.13,428,14.49,Yes,92.29
Mifflinburg Area MS,2.7,0.49,0.49,1.72,3.43,0,0,4.41,50.74,0.98,52.94,408,16.42,No,91.18
Mifflinburg Area SHS,1.84,0,0.67,2.51,1.84,0,0,4.68,39.8,1,47.32,598,13.71,No,93.14
Mifflinburg El Sch,3.07,0,0,2.13,1.65,0,0,0.24,42.55,0.24,50.83,423,12.29,Yes,93.14
Miles Township El Sch,1,0,1,0,5,0,0,0,50,1,51,100,9,Yes,93
Mill Creek El Sch,14.65,0.37,1.77,15.95,12.41,0,0.19,0.56,62.78,5.88,47.48,1072,17.16,Yes,54.66
Mill Hall El Sch,4.29,0,0.99,0,6.93,0,0,0.33,52.81,4.29,48.84,303,13.86,Yes,87.79
Mill Road El Sch,8.4,0,0.76,3.05,2.29,0.76,0,1.53,39.69,0,50.38,131,8.4,No,85.5
Mill Village El Sch,0.81,0,0,0.81,0,2.44,0,1.63,52.03,0,46.34,123,26.83,Yes,98.37
Miller El Sch,6.06,0.2,6.87,7.07,12.93,0,0,0.81,34.75,7.27,48.69,495,10.71,Yes,66.87
Miller Heights El Sch,0.91,0.3,4.27,7.93,20.73,0,0.91,0.3,29.57,3.66,46.34,328,11.59,No,64.94
Miller MS,2.18,0,2.18,0.44,0.44,0,0,3.49,45.85,0,41.05,229,24.02,No,94.76
Millersburg Area High School,2.13,0,0.43,3.83,3.4,0,0,5.11,35.32,0.85,47.23,235,13.19,No,90.21
Millersburg Area Middle School,2.07,0,2.07,2.07,4.66,2.07,0,1.04,43.01,1.04,46.11,193,25.39,No,89.12
Millmont El Sch,1.85,0,0.37,9.44,77.22,0,0,0.74,89.07,12.22,48.33,540,18.15,Yes,11.11
Millville Area Elementary School,2.23,0,0,0.32,1.27,0,0.32,1.59,37.26,0,49.68,314,20.06,Yes,95.86
Millville Area JSHS,1.17,0,0.39,0.39,1.17,0,0.39,5.86,39.06,0.78,53.13,256,23.44,No,96.48
Milton Area MS,4.09,0.22,0.43,4.09,7.33,0,0.22,3.45,59.7,3.45,47.63,464,16.81,Yes,83.62
Milton HS,2.69,0.32,0,4.59,6.96,0,0.16,3.32,55.54,2.69,46.2,632,16.46,No,85.28
Minersville Area El Ctr,0.42,0,0.84,4.84,8.21,0,0,1.89,46.11,1.05,50.95,475,23.58,Yes,85.68
Minersville Area JSHS,0,0,0.77,3.46,4.42,0,0,2.31,48.46,0.96,47.12,520,23.27,No,91.35
Mitchell El Sch,2.3,0.46,0,95.63,1.38,0,0,0,88.05,0.69,50.8,435,14.25,Yes,0.23
Moffet John Sch,11.15,0,0.38,17.69,54.23,0,0,0.77,73.46,13.85,41.92,260,18.08,Yes,16.54
Mohawk El Sch,3.69,0,0.38,0.38,0.76,0,0,0.76,48.35,0,48.6,786,12.6,Yes,94.78
Mohawk JHS,3.1,0,0.44,0.44,1.33,0.44,0,0.88,39.38,0,48.23,226,10.18,No,94.69
Mohawk SHS,1.74,0.22,0.22,0.87,0.65,2.17,0,1.74,39.26,0.22,49.24,461,10.41,No,96.31
Mon Valley Career and Technology Center,7.02,0.19,0,7.02,3.61,0,0.19,0.38,62.24,0,39.66,527,29.79,No,81.97
Monessen El Ctr,23.8,0,0.8,37.97,1.87,0,0,0.53,70.32,0,48.93,374,15.24,Yes,35.56
Monessen MS,18.87,0,0.63,40.88,1.89,0,0,3.77,71.7,0.63,50.94,159,18.87,Yes,37.74
Monessen SHS,20.18,0,0,31.19,3.67,0,0,2.29,59.17,0.46,53.21,218,20.18,Yes,44.95
Moniteau JSHS,1.77,0.18,0,0.35,0.18,0.53,0,4.77,45.58,0,48.06,566,19.61,No,97.53
Monroe Career and Technical Institute,1.19,0.2,0.89,19.7,20.69,0,0.3,0.4,47.62,3.07,35.54,1010,28.22,No,57.03
Monroe El Sch,4.07,0,1.63,1.22,5.69,2.64,0,1.22,22.15,0,50.2,492,11.38,No,87.4
Montessori Regional CS,6.44,0.89,3.76,11.27,11.99,0,0.18,0,51.34,6.08,54.38,559,9.48,Yes,65.47
Montgomery El Sch,1.3,0.19,0.37,0.56,2.78,0,0,0,53.43,0.19,51.76,539,10.2,Yes,94.81
Montgomery JSHS,3.07,0,1.02,1.28,3.07,0,0,0.77,56.01,0.26,45.78,391,16.37,No,91.56
Montour El Sch,5.03,0.35,4.59,6.18,1.94,1.32,0,0.97,24.71,1.5,48.28,1133,13.15,Yes,81.91
Montour HS,3.16,0.11,2.37,6.09,2.25,0.56,0,4.51,23,0.45,50.85,887,15.78,No,86.02
Montoursville Area SHS,1.94,0.16,0.97,0.48,1.94,0.32,0.32,2.74,29.84,0.16,48.71,620,12.42,No,94.19
Montrose Area JSHS,0,0.34,0.34,1.2,3.09,0,0,3.61,39.35,0.34,48.11,582,19.59,No,95.02
