name,two_or_more_races_percent,american_indian_alaskan_native_percent,asian_percent,black_african_american_percent,hispanic_percent,homeless_percent,military_connected_percent,native_hawaiian_or_other_pacific_islander_percent,percent_of_gifted_students,economically_disadvantaged_percent,english_learner_percent,female_percent,school_enrollment,special_education_percent,title_1_school,white_percent
Riverside El Sch East,3.78,0.21,1.47,4.2,18.28,0,0,0,0,59.87,6.3,49.58,476,17.86,Yes,72.06
Riverside El Sch West,11.43,0.29,1.14,4.29,16.86,0,0,0.29,0,60.29,4.86,49.43,350,9.14,Yes,65.71
Riverside HS,1.69,0.21,0.85,0.63,1.06,1.06,0,0,2.96,40.17,0.21,49.89,473,15.86,No,95.56
Riverside JSHS,0.99,0,2.12,3.39,15.13,0.42,0,0,8.06,51.06,3.39,47.52,707,20.08,No,78.36
Riverside MS,2.32,0.29,0,0,1.16,0.87,0,0,1.45,40,0.58,46.38,345,19.71,No,96.23
Riverview JSHS,2.44,0,0.49,7.07,1.22,1.46,0,0,8.05,31.46,0.24,46.83,410,16.59,No,88.78
Robb El Sch,6.04,0,0.52,1.31,4.72,1.31,0,0,0,71.65,3.67,51.44,381,28.35,Yes,87.4
Robert Benjamin Wiley Community CS,19.95,0,0,44.9,13.83,9.52,0,0,0,96.15,2.49,48.53,441,23.81,Yes,21.32
Robert K Shafer MS,2.22,0.34,12.48,14.7,21.03,2.22,0.17,0,10.26,61.88,10.77,49.57,585,19.15,Yes,49.23
Robert Morris #27,5.92,0,3.43,8.1,23.99,0.93,0,0,0.62,62.62,3.12,52.02,321,18.07,Yes,58.57
Robert Reid El Sch,15.45,0,0.63,7.72,16.7,2.51,0,0,0.63,65.34,0.42,48.23,479,11.9,Yes,59.5
Roberto Clemente CS,0,0,0,2.34,97.16,0.17,0,0,0,99.33,18.56,52.84,598,10.03,Yes,0.5
Roberts El Sch,7.22,0.38,18.25,4.94,7.22,0.38,0,0,2.66,19.01,5.7,48.67,263,12.55,No,61.98
Robeson El Ctr,3.94,0,0,1.31,5.51,0.79,0,0,0.79,29.13,0.79,52.23,381,16.01,Yes,89.24
Robison El Sch,2.39,0.24,2.15,0.48,2.63,0,0.72,0,4.77,36.04,0.95,48.69,419,13.84,Yes,92.12
Rochester Area El Sch,11.11,0.32,0.32,14.92,1.27,5.71,0.63,0,0.95,65.71,0.32,42.22,315,28.89,Yes,72.06
Rochester High School,3.98,0,0,27.36,0.5,4.98,1.49,0.5,4.98,56.72,0,48.76,201,20.9,No,67.66
Rochester MS,6.55,0,0.6,23.81,0.6,4.17,1.79,0,2.98,63.69,0.6,55.36,168,28.57,No,68.45
Rock L Butler MS,1.77,0.44,1.33,1.55,1.77,0.22,0.22,0,7.98,46.34,0.22,52.33,451,22.84,No,93.13
Rockhill El Sch,0,0,0,1.84,2.45,0,0,0,0,52.76,0,55.83,163,18.4,Yes,95.71
Rockwood Area El Sch,0.3,0,0.3,1.52,0.61,0,0,0,0.61,50.91,0,50.91,328,7.93,Yes,97.26
Rockwood Area JSHS,0,0.55,0.55,1.1,1.1,0.55,0.27,0,4.67,41.76,0,45.6,364,10.71,No,96.7
Rocky Grove JSHS,0.46,0,0,1.39,0.23,4.39,0,0.23,4.85,58.66,0,46.88,433,20.09,No,97.69
Rohrerstown El Sch,2.2,0.22,10.77,4.84,17.14,1.76,0,0,8.57,40,10.33,47.03,455,17.8,No,64.84
Rolling Hills El Sch,0.89,0,4.47,1.57,4.03,0.67,0,0.67,1.12,15.88,4.92,52.8,447,12.53,Yes,88.37
Rolling Ridge El Sch,6.05,0,1.88,0.84,2.51,0,0,0.21,1.67,44.89,0.42,52.61,479,13.78,Yes,88.52
Rommelt El Sch,3.92,0,0.49,3.43,2.45,0.49,0,0.49,0.49,50.49,0,52.45,204,14.71,No,89.22
Roosevelt Altern Sch,8.62,0,0,43.1,35.34,3.45,0,0,1.72,79.31,8.62,50,116,17.24,No,12.93
Roosevelt El Sch,1.83,0.28,1.13,13.36,75.39,5.77,0,0,0.28,85.79,11.25,44.16,711,18.99,Yes,8.02
Roosevelt MS,9.34,0.26,2.46,21.01,16.21,3.37,0,0,0.78,73.67,5.19,50.32,771,24.25,Yes,50.71
Roosevelt Theodore MS,4.79,0,0.2,90.62,2.79,6.99,0,0,0,87.62,0.4,46.11,501,23.35,Yes,1.6
Rose Tree El Sch,10.14,0.24,5.8,3.62,2.17,0,0.24,0,7,9.18,2.9,52.66,414,6.76,No,78.02
Roslyn Sch,7.05,0,2.94,16.24,12.33,0.2,0,0.2,4.11,26.42,1.76,50.88,511,12.52,Yes,61.25
Ross El Sch,0.99,0,0,1.48,0.49,0,0,0,0,38.42,0.49,52.22,203,16.75,Yes,97.04
Rossmoyne El Sch,5.76,0,3.14,6.28,13.61,1.05,0.52,0,1.05,32.98,6.81,46.6,191,14.66,Yes,71.2
Rostraver El Sch,4.43,0,1.48,2.46,3.28,0.16,1.48,0,1.64,34.92,1.64,49.84,610,6.23,No,88.36
Roundtown El Sch,6,0,5.51,5.51,6.65,0,0,0,0.97,21.39,0.81,51.22,617,7.62,No,76.34
Rowan El Sch,5.09,0,2.65,1.63,3.87,0.41,0.41,0,7.33,6.31,1.63,44.6,491,12.42,No,86.76
Rowen William Sch,4.34,0.23,0,92.24,1.83,1.14,0,0,0,81.96,1.6,46.12,438,16.44,Yes,1.37
Rowland Academy,1.93,0,0.39,48.07,46.79,7.2,0,0,0.13,87.15,23.26,46.66,778,19.92,Yes,2.83
Roxborough HS,3.01,0.27,0.68,84.43,3.96,0.96,0,0,0.27,72.13,1.37,40.44,732,35.38,Yes,7.65
Roy A. Hunt El Sch,16.69,0.16,0.48,33.39,2.57,1.93,0,0,1.77,55.22,0.64,50.56,623,27.45,Yes,46.71
Royersford El Sch,8.51,0,2.6,3.31,9.22,1.18,0,0,2.13,31.21,0.71,46.57,423,17.73,Yes,76.36
Rumbaugh El Sch,4.43,0,0,0.63,0.63,1.27,0,0,0.63,51.9,0,46.2,158,11.39,Yes,94.3
Rupert El Sch,12.57,0.52,0.79,35.34,17.8,4.71,0.26,0.52,1.05,77.49,2.09,49.48,382,14.4,Yes,32.46
Russell B Walter El Sch,2.25,0,0,0.94,2.81,0.37,0,0,1.31,62.92,0.37,48.5,534,11.42,Yes,94.01
Russell Byers CS,0.28,0,1.14,93.59,1.42,0.14,0,0,0,97.86,0.85,51.57,702,13.39,Yes,3.56
Russell C Struble El Sch,2.33,0.78,17.44,10.66,11.63,1.55,0,0,10.27,42.05,7.95,48.84,516,15.31,No,57.17
Russell El Sch,2.26,0.56,10.45,1.69,1.98,0,0,0,5.65,16.67,3.11,48.02,354,19.77,Yes,83.05
Rutherford El Sch,8.27,0,12.65,27.98,21.17,1.22,0.24,0,1.46,64.72,11.92,49.88,411,7.54,Yes,29.93
Ryan Gloyer MS,1.84,0,2.99,1.58,2.46,1.23,0.18,0,12.73,14.4,0.35,47.76,1139,17.82,No,91.13
Rydal East Sch,5.97,0,12.11,5.97,6.6,0.16,0,0,9.12,13.68,6.29,44.65,636,9.28,No,69.34
S S Palmer El Sch,1.32,0,0.22,1.32,6.14,0.66,0,0,1.1,43.42,0,52.85,456,15.13,Yes,91.01
SRU El Sch,1.1,0,0.55,1.1,1.1,3.84,0,0.27,0.55,51.51,0,49.86,365,16.16,Yes,95.89
STEM at Showalter,2.76,0,0.46,85.75,10.34,0.23,0,0,1.38,93.79,4.6,54.94,435,15.4,Yes,0.69
SUN Area Technical Institute,0,0.81,0.4,1.61,3.63,1.21,0,0,0,40.73,0,35.89,248,24.19,No,93.55
Sabold El Sch,3.08,0,6.93,10.79,3.39,0.77,0.46,0.15,1.69,25.73,2.31,49.15,649,16.95,Yes,75.65
Saegertown El Sch,4.34,0,0.22,0.87,1.74,0.65,2.17,0,1.08,39.26,0.22,47.07,461,16.27,Yes,92.84
Saegertown JSHS,2.61,0,0.43,0.65,1.3,0,0.65,0,1.96,38.04,0.22,51.52,460,18.7,No,95
Saint Clair Area El/MS,1.18,0.99,0.99,4.54,6.9,0.59,0,0,0,65.68,1.58,47.14,507,22.68,Yes,85.4
Salem El Sch,2.1,0,0.79,2.89,9.45,1.57,0,0,1.05,58.79,1.57,51.71,381,19.42,Yes,84.78
Salford Hills El Sch,0,0.44,2.44,0.89,3.56,0.67,0,0.44,3.33,11.11,0.67,48,450,10.67,No,92.22
Salisbury El Sch,4.26,0.66,0.33,0.33,3.28,0.66,0,0,0.98,55.08,0,43.61,305,21.31,Yes,91.15
Salisbury MS,11.05,0,2.63,3.68,16.84,0.53,1.05,0,5.26,37.63,1.84,42.37,380,23.68,Yes,65.79
Salisbury SHS,6.26,0.18,3.5,2.95,14.92,0.92,0.74,0.18,9.94,34.07,2.39,46.96,543,19.15,No,72.01
Salisbury-Elk Lick El Sch,1.88,0,0.63,0,0,1.25,0.63,0,0.63,53.75,0,45.63,160,18.75,Yes,97.5
Salisbury-Elk Lick JSHS,1.83,0,0,0,0,2.75,2.75,0,0,49.54,0,49.54,109,11.01,No,98.17
Salladasburg El Sch,0.59,0,0,0.59,0.59,1.18,0,0,0,44.71,0,51.76,170,10.59,Yes,98.24
Saltsburg El Sch,1.5,0,0.38,1.5,1.88,1.5,0,0,3.01,53.01,0,42.11,266,12.78,Yes,94.74
Saltsburg MS/HS,0.35,0,0.35,0.71,0.71,0.35,4.59,0,4.95,48.76,0.35,45.94,283,19.43,No,97.88
Samuel Gompers Sch,4.82,0.32,0.64,90.03,2.89,3.86,0,0,0,72.35,1.61,46.62,311,24.12,Yes,1.29
Samuel K Faust El Sch,3.43,0,14.8,21.03,33.33,2.96,0,0.16,2.49,82.87,21.5,49.38,642,17.91,Yes,27.26
Samuel Pennypacker Sch,2.42,0,0.24,94.67,1.94,2.18,0,0,0,77,0.97,46.25,413,16.71,Yes,0.73
Sandburg MS,6.01,0.14,3.69,5.87,8.06,1.37,0,0.14,4.64,36.34,0.14,48.63,732,17.62,No,76.09
Sandy Run MS,4.38,0.11,9.4,7.69,3.1,0.11,0.11,0,13.89,13.68,0.75,47.86,936,16.35,No,75.32
Sandycreek El Sch,5.77,0,0.55,0.82,0.27,1.65,0.27,0.27,1.37,50,0,50.82,364,24.45,Yes,92.31
Sankofa Freedom Academy Charter School,2.89,1.22,0.3,92.09,3.2,1.67,0,0,0.15,76.56,1.83,47.95,657,15.22,Yes,0.3
Sara Lindemuth El Sch,13.61,0,14.29,34.01,14.69,2.04,0,0.41,0,60.95,6.12,50.48,735,7.89,Yes,22.99
Sarah W Starkweather El Sch,4.5,0,3.63,4.67,8.82,2.08,0.69,0,4.67,13.84,3.46,50.69,578,12.11,No,78.37
Saucon Valley El Sch,5.83,0,1.53,1.11,8.61,0.97,1.53,0,2.92,30.56,2.08,47.92,720,15.56,Yes,82.92
Saucon Valley MS,3.2,0,3.65,1.52,9.89,0.15,0.61,0,6.39,32.27,1.37,52.82,657,18.57,No,81.74
Saucon Valley SHS,1.22,0,4.46,2.84,6.89,0.27,0.41,0,6.89,24.05,1.62,48.24,740,14.32,No,84.59
