SchoolName,AcademicYearId,Federal-Non-Personnel,Federal-Personnel,Local-Non-Personnel,Local-Personnel,State-Non-Personnel,State-Personnel
Laurel Highlands SHS,2018,1199.23,0.0,24750.62,7516.61,2860.63,8687.56
Laurel MS,2018,56.58,64.73,2292.02,2762.25,4787.26,5769.43
Laurel Valley El Sch,2018,15.12,1129.14,3109.65,7217.1,2057.93,4776.21
Lawnton El Sch,2018,88.75,984.01,1525.5,8901.55,496.68,2898.19
Lawton Henry W Sch,2018,246.24,1914.36,1839.28,7285.65,95.12,593.22
Lea Henry C Sch,2018,203.73,2120.07,1810.1,8599.74,96.45,409.73
Leaders Heights El Sch,2018,0.0,0.0,1497.93,12420.32,529.46,4365.29
Lebanon MS,2018,42.43,717.66,361.01,2609.25,768.25,5523.21
Lebanon SHS,2018,20.85,319.46,525.51,3478.46,1109.38,7796.71
Lee Park El Sch,2018,4.85,428.44,1603.93,5855.06,1508.57,5506.97
Leechburg Area HS,2018,11.95,0.0,3473.36,16640.85,0.0,0.0
Leechburg Area MS,2018,15.44,0.0,3061.29,14828.75,0.0,0.0
Leedom El Sch,2018,298.43,0.0,2073.92,21303.7,10.18,0.0
Lehigh El Sch,2018,33.99,289.26,2009.52,13648.17,12.79,349.35
Lehigh Parkway El Sch,2018,124.72,798.32,571.26,3656.47,1030.65,6596.88
Lehigh Valley Academy Regional CS,2018,61.51,370.81,4122.35,8213.83,83.32,43.11
Lehigh Valley Charter High School for the Arts,2018,72.17,208.49,3352.89,10683.23,244.05,19.5
Lehigh Valley Dual Language Charter School,2018,20.19,259.52,3185.53,9114.91,0.0,0.0
Lehighton Area El Sch,2018,63.64,753.35,4010.51,3509.41,3422.13,3050.24
Lehighton Area HS,2018,59.02,0.0,3719.64,3700.26,3173.94,3216.12
Lehighton Area MS,2018,61.59,0.0,3881.49,3668.92,3312.04,3188.88
Lehman Intermediate Sch,2018,65.11,327.03,1987.39,11950.4,843.54,5072.29
Lehman-Jackson El Sch,2018,0.0,77.61,1227.39,7169.7,898.31,5247.43
Leib El Sch,2018,21.05,335.41,1061.62,6519.35,683.89,4199.74
