DistrictName,SchoolName,EnrollmentNumber,Year
Allentown City School District,William Allen HS,2605,2018-2019
Alliance for Progress CS,Alliance for Progress CS,529,2018-2019
Altoona Area School District,Altoona Area HS,1678,2018-2019
Altoona Area School District,Altoona Area Jr HS,1744,2018-2019
Altoona Area School District,Baker El Sch,320,2018-2019
Altoona Area School District,Irving El Sch,352,2018-2019
Altoona Area School District,Juniata El Sch,599,2018-2019
Altoona Area School District,Juniata Gap El Sch,690,2018-2019
Altoona Area School District,Kimmel Alternative School,27,2018-2019
Altoona Area School District,Logan El Sch,525,2018-2019
Altoona Area School District,Mowrie A Ebner El Sch,605,2018-2019
Altoona Area School District,Penn-Lincoln El Sch,392,2018-2019
Altoona Area School District,Pleasant Valley El Sch,585,2018-2019
Ambridge Area School District,Ambridge Area HS,764,2018-2019
Ambridge Area School District,Ambridge Area MS,567,2018-2019
Ambridge Area School District,Economy El Sch,435,2018-2019
Ambridge Area School District,Highland El Sch,350,2018-2019
Ambridge Area School District,State Street El Sch,266,2018-2019
Annville-Cleona School District,Annville Cleona HS,455,2018-2019
Annville-Cleona School District,Annville El Sch,444,2018-2019
Annville-Cleona School District,Annville-Cleona MS,242,2018-2019
Annville-Cleona School District,Cleona El Sch,303,2018-2019
Antietam School District,Antietam MS/HS,493,2018-2019
Antietam School District,Mt Penn El Sch,476,2018-2019
Antietam School District,Mt Penn Primary Ctr,172,2018-2019
Antonia Pantoja Community Charter School,Antonia Pantoja Community Charter School,715,2018-2019
Apollo-Ridge School District,Apollo-Ridge Elem Sch,525,2018-2019
Apollo-Ridge School District,Apollo-Ridge HS,363,2018-2019
Apollo-Ridge School District,Apollo-Ridge MS,265,2018-2019
Armstrong School District,Armstrong JSHS,1628,2018-2019
Armstrong School District,Dayton El Sch,218,2018-2019
Armstrong School District,Elderton El Sch,249,2018-2019
Armstrong School District,Lenape El Sch,786,2018-2019
Armstrong School District,Shannock Valley El Sch,349,2018-2019
Armstrong School District,West Hills Intermediate Sch,535,2018-2019
Armstrong School District,West Hills Primary Sch,688,2018-2019
Armstrong School District,West Shamokin JSHS,613,2018-2019
Arts Academy CS,Arts Academy CS,358,2018-2019
Arts Academy Elementary Charter School,Arts Academy Elementary Charter School,423,2018-2019
ASPIRA Bilingual Cyber Charter School,ASPIRA Bilingual Cyber Charter School,365,2018-2019
Athens Area School District,Athens Area HS,629,2018-2019
Athens Area School District,Audrielle Lynch-Ellen Bustin El Sch,539,2018-2019
Athens Area School District,Harlan Rowe MS,506,2018-2019
Athens Area School District,SRU El Sch,365,2018-2019
Austin Area School District,Austin Area El Sch,109,2018-2019
Austin Area School District,Austin Area JSHS,85,2018-2019
Avella Area School District,Avella Area JSHS,258,2018-2019
Avella Area School District,Avella El Center,260,2018-2019
Avon Grove CS,Avon Grove CS,1846,2018-2019
Avon Grove School District,Avon Grove HS,1727,2018-2019
Avon Grove School District,Avon Grove Intrmd Sch,1488,2018-2019
Avon Grove School District,Fred S Engle MS,833,2018-2019
Avon Grove School District,Penn London El Sch,905,2018-2019
Avonworth School District,Avonworth El Sch,573,2018-2019
Avonworth School District,Avonworth HS,495,2018-2019
Avonworth School District,Avonworth MS,271,2018-2019
Avonworth School District,Avonworth Primary Center,452,2018-2019
Baden Academy CS,Baden Academy CS,574,2018-2019
Bald Eagle Area School District,Bald Eagle Area JSHS,898,2018-2019
Bald Eagle Area School District,Howard El Sch,90,2018-2019
Bald Eagle Area School District,Mountaintop Area El Sch,125,2018-2019
Bald Eagle Area School District,Port Matilda El Sch,107,2018-2019
Bald Eagle Area School District,Wingate El Sch,356,2018-2019
Baldwin-Whitehall School District,Baldwin SHS,1453,2018-2019
Baldwin-Whitehall School District,Harrison MS,937,2018-2019
Baldwin-Whitehall School District,McAnnulty El Sch,435,2018-2019
Baldwin-Whitehall School District,Paynter El Sch,799,2018-2019
Baldwin-Whitehall School District,Whitehall El Sch,740,2018-2019
Bangor Area School District,Bangor Area HS,995,2018-2019
Bangor Area School District,Bangor Area MS,697,2018-2019
Bangor Area School District,DeFranco El Sch,534,2018-2019
Bangor Area School District,Five Points El Sch,193,2018-2019
Bangor Area School District,Washington El Sch,554,2018-2019
Bear Creek Community CS,Bear Creek Community CS,466,2018-2019
Beaver Area School District,Beaver Area MS,318,2018-2019
Beaver Area School District,Beaver Area SHS,685,2018-2019
Beaver Area School District,College Square El Sch,421,2018-2019
Beaver Area School District,Dutch Ridge El Sch,581,2018-2019
Beaver County CTC,Beaver County CTC,618,2018-2019
Bedford Area School District,Bedford El Sch,751,2018-2019
Bedford Area School District,Bedford MS,457,2018-2019
Bedford Area School District,Bedford SHS,572,2018-2019
Bedford County Technical Center,Bedford County Technical Center,362,2018-2019
Belle Vernon Area School District,Belle Vernon Area HS,777,2018-2019
Belle Vernon Area School District,Belle Vernon Area MS,370,2018-2019
Belle Vernon Area School District,Marion El Sch,661,2018-2019
Belle Vernon Area School District,Rostraver El Sch,610,2018-2019
Bellefonte Area School District,Bellefonte Area HS,869,2018-2019
Bellefonte Area School District,Bellefonte Area MS,638,2018-2019
Bellefonte Area School District,Bellefonte El Sch,334,2018-2019
Bellefonte Area School District,Benner El Sch,227,2018-2019
Bellefonte Area School District,Marion-Walker El Sch,358,2018-2019
Bellefonte Area School District,Pleasant Gap El Sch,210,2018-2019
Bellwood-Antis School District,Bellwood Antis MS,408,2018-2019
Bellwood-Antis School District,Bellwood-Antis HS,386,2018-2019
Bellwood-Antis School District,Lewis M Myers El Sch,478,2018-2019
Belmont Charter School,Belmont Charter School,808,2018-2019
Bensalem Township School District,Belmont Hills El Sch,585,2018-2019
Bensalem Township School District,Benjamin Rush El Sch,466,2018-2019
Bensalem Township School District,Bensalem Twp HS,2003,2018-2019
Bensalem Township School District,Cecelia Snyder MS,442,2018-2019
Bensalem Township School District,Cornwells El Sch,534,2018-2019
Bensalem Township School District,Robert K Shafer MS,585,2018-2019
Bensalem Township School District,Russell C Struble El Sch,516,2018-2019
Bensalem Township School District,Samuel K Faust El Sch,642,2018-2019
Bensalem Township School District,Valley El Sch,701,2018-2019
Benton Area School District,Appleman El Sch,361,2018-2019
Benton Area School District,Benton Area MS,102,2018-2019
Bentworth School District,Bentworth El Ctr,403,2018-2019
Bentworth School District,Bentworth MS,381,2018-2019
Bentworth School District,Bentworth SHS,354,2018-2019
Berks CTC-East Campus,Berks CTC-East Campus,825,2018-2019
Berks CTC-West Campus,Berks CTC-West Campus,779,2018-2019
Berlin Brothersvalley School District,Berlin Brothersvalley El Sch,283,2018-2019
Berlin Brothersvalley School District,Berlin Brothersvalley MS,201,2018-2019
Berlin Brothersvalley School District,Berlin Brothersvalley SHS,232,2018-2019
Bermudian Springs School District,Bermudian Springs El Sch,693,2018-2019
Bermudian Springs School District,Bermudian Springs HS,629,2018-2019
Bermudian Springs School District,Bermudian Springs MS,599,2018-2019
Berwick Area School District,Berwick Area HS,732,2018-2019
Berwick Area School District,Berwick Area MS,972,2018-2019
Berwick Area School District,Nescopeck El Sch,198,2018-2019
Berwick Area School District,Salem El Sch,381,2018-2019
Berwick Area School District,West Berwick El Sch,498,2018-2019
Bethel Park School District,Abraham Lincoln El Sch,267,2018-2019
Bethel Park School District,Benjamin Franklin El Sch,336,2018-2019
Bethel Park School District,Bethel Memorial El Sch,313,2018-2019
Bethel Park School District,Bethel Park HS,1391,2018-2019
Bethel Park School District,George Washington El Sch,255,2018-2019
Bethel Park School District,Independence MS,683,2018-2019
Bethel Park School District,Neil Armstrong 5-6 MS,630,2018-2019
Bethel Park School District,William Penn El Sch,190,2018-2019
Bethlehem Area School District,Asa Packer El Sch,337,2018-2019
Bethlehem Area School District,Broughal MS,523,2018-2019
Bethlehem Area School District,Calypso El Sch,240,2018-2019
Bethlehem Area School District,Clearview El Sch,347,2018-2019
Bethlehem Area School District,Donegan El Sch,533,2018-2019
Bethlehem Area School District,East Hills MS,1061,2018-2019
Bethlehem Area School District,Farmersville El Sch,415,2018-2019
Bethlehem Area School District,Fountain Hill El Sch,578,2018-2019
Bethlehem Area School District,Freedom HS,1956,2018-2019
Bethlehem Area School District,Freemansburg El Sch,366,2018-2019
Bethlehem Area School District,Governor Wolf El Sch,446,2018-2019
Bethlehem Area School District,Hanover El Sch,254,2018-2019
Bethlehem Area School District,James Buchanan El Sch,286,2018-2019
Bethlehem Area School District,Liberty HS,2673,2018-2019
Bethlehem Area School District,Lincoln El Sch,341,2018-2019
Bethlehem Area School District,Marvine El Sch,276,2018-2019
Bethlehem Area School District,Miller Heights El Sch,387,2018-2019
Bethlehem Area School District,Nitschmann MS,809,2018-2019
Bethlehem Area School District,Northeast MS,755,2018-2019
Bethlehem Area School District,Spring Garden El Sch,514,2018-2019
Bethlehem Area School District,Thomas Jefferson El Sch,260,2018-2019
Bethlehem Area School District,William Penn El Sch,261,2018-2019
Bethlehem AVTS,Bethlehem AVTS,1325,2018-2019
Bethlehem-Center School District,Bethlehem-Center El Sch,497,2018-2019
Bethlehem-Center School District,Bethlehem-Center MS,243,2018-2019
Bethlehem-Center School District,Bethlehem-Center SHS,414,2018-2019
Big Beaver Falls Area School District,Beaver Falls Area SHS,480,2018-2019
Big Beaver Falls Area School District,Beaver Falls MS,356,2018-2019
Big Beaver Falls Area School District,Big Beaver El Sch,374,2018-2019
Big Beaver Falls Area School District,Central El Sch,500,2018-2019
Big Spring School District,Big Spring HS,821,2018-2019
Big Spring School District,Big Spring MS,580,2018-2019
Big Spring School District,Mount Rock Elem Sch,383,2018-2019
Big Spring School District,Newville El Sch,358,2018-2019
Big Spring School District,Oak Flat El Sch,389,2018-2019
Blackhawk School District,Blackhawk HS,725,2018-2019
Blackhawk School District,Blackhawk Intermediate Sch,334,2018-2019
Blackhawk School District,Highland MS,749,2018-2019
Blackhawk School District,Northwestern Primary Sch,293,2018-2019
Blackhawk School District,Patterson Primary Sch,216,2018-2019
Blacklick Valley School District,Blacklick Valley El Ctr,350,2018-2019
Blacklick Valley School District,Blacklick Valley JSHS,290,2018-2019
Blairsville-Saltsburg School District,Blairsville El Sch,452,2018-2019
Blairsville-Saltsburg School District,Blairsville MS,219,2018-2019
Blairsville-Saltsburg School District,Blairsville SHS,294,2018-2019
Blairsville-Saltsburg School District,Saltsburg El Sch,266,2018-2019
Blairsville-Saltsburg School District,Saltsburg MS/HS,283,2018-2019
Bloomsburg Area School District,Beaver-Main El Sch,100,2018-2019
Bloomsburg Area School District,Bloomsburg Area HS,396,2018-2019
Bloomsburg Area School District,Bloomsburg Area MS,382,2018-2019
Bloomsburg Area School District,Memorial El Sch,422,2018-2019
Bloomsburg Area School District,W W Evans Memorial El Sch,189,2018-2019
Blue Mountain School District,Blue Mountain El Cressona Sch,174,2018-2019
Blue Mountain School District,Blue Mountain El East Sch,606,2018-2019
Blue Mountain School District,Blue Mountain El West Sch,297,2018-2019
Blue Mountain School District,Blue Mountain HS,886,2018-2019
Blue Mountain School District,Blue Mountain MS,616,2018-2019
Blue Ridge School District,Blue Ridge El Sch,470,2018-2019
Blue Ridge School District,Blue Ridge HS,267,2018-2019
Blue Ridge School District,Blue Ridge MS,221,2018-2019
Boyertown Area School District,Boyertown Area MS-East,895,2018-2019
Boyertown Area School District,Boyertown Area MS-West,782,2018-2019
Boyertown Area School District,Boyertown Area SHS,2119,2018-2019
Boyertown Area School District,Boyertown El Sch,445,2018-2019
Boyertown Area School District,Colebrookdale El Sch,291,2018-2019
Boyertown Area School District,Earl El Sch,246,2018-2019
Boyertown Area School District,Gilbertsville El Sch,689,2018-2019
Boyertown Area School District,New Hanover-Upper Frederick El,675,2018-2019
Boyertown Area School District,Pine Forge El Sch,242,2018-2019
Boyertown Area School District,Washington El Sch,483,2018-2019
Boys Latin of Philadelphia CS,Boys Latin of Philadelphia CS,807,2018-2019
Bradford Area School District,Bradford Area HS,751,2018-2019
Bradford Area School District,Floyd C Fretz MS,567,2018-2019
Bradford Area School District,George Blaisdell El Sch,654,2018-2019
Bradford Area School District,School Street El Sch,583,2018-2019
Brandywine Heights Area School District,Brandywine Heights El Sch,398,2018-2019
Brandywine Heights Area School District,Brandywine Heights HS,461,2018-2019
Brandywine Heights Area School District,Brandywine Heights Intrmd/MS,531,2018-2019
Brentwood Borough School District,Brentwood MS,291,2018-2019
Brentwood Borough School District,Brentwood SHS,343,2018-2019
Brentwood Borough School District,Elroy Avenue El Sch,336,2018-2019
Brentwood Borough School District,Moore Sch,230,2018-2019
Bristol Borough School District,Bristol HS,271,2018-2019
Bristol Borough School District,Bristol MS,222,2018-2019
Bristol Borough School District,Warren Snyder-John Girotti El Sch,730,2018-2019
Bristol Township School District,Brookwood El Sch,1008,2018-2019
Bristol Township School District,Keystone El Sch,1032,2018-2019
Bristol Township School District,Mill Creek El Sch,1107,2018-2019
Bristol Township School District,Neil A Armstrong MS,818,2018-2019
Bristol Township School District,Roosevelt MS,771,2018-2019
Bristol Township School District,Truman SHS,1622,2018-2019
Brockway Area School District,Brockway Area Elementary Sch,512,2018-2019
Brockway Area School District,Brockway Area JSHS,440,2018-2019
Brookville Area School District,Brookville JSHS,683,2018-2019
Brookville Area School District,Hickory Grove El Sch,467,2018-2019
Brookville Area School District,Northside El Sch,115,2018-2019
Brookville Area School District,Pinecreek El Sch,227,2018-2019
Brownsville Area School District,Brownsville Area El Sch,740,2018-2019
Brownsville Area School District,Brownsville Area HS,467,2018-2019
Brownsville Area School District,Brownsville Area MS,372,2018-2019
Bucks County Montessori CS,Bucks County Montessori CS,196,2018-2019
Bucks County Technical High School,Bucks County Technical High School,1424,2018-2019
Burgettstown Area School District,Burgettstown El Ctr,482,2018-2019
Burgettstown Area School District,Burgettstown MS/HS,584,2018-2019
Burrell School District,Bon Air El Sch,512,2018-2019
Burrell School District,Burrell HS,592,2018-2019
Burrell School District,Charles A Huston MS,439,2018-2019
Burrell School District,Stewart El Sch,260,2018-2019
Butler Area School District,Butler Area IHS,1505,2018-2019
Butler Area School District,Butler Area SHS,1464,2018-2019
Butler Area School District,Butler MS,1036,2018-2019
Butler Area School District,Center Twp Sch,711,2018-2019
Butler Area School District,Connoquenessing El Sch,252,2018-2019
Butler Area School District,Emily Brittain El Sch,261,2018-2019
Butler Area School District,McQuistion El Sch,419,2018-2019
Butler Area School District,Northwest El Sch,307,2018-2019
Butler Area School District,Summit El Sch,238,2018-2019
Butler County AVTS,Butler County AVTS,932,2018-2019
California Area School District,California Area El Sch,319,2018-2019
California Area School District,California Area Intermediate MS,129,2018-2019
California Area School District,California Area MS,140,2018-2019
California Area School District,California Area SHS,264,2018-2019
Cambria Heights School District,Cambria Heights El Sch,548,2018-2019
Cambria Heights School District,Cambria Heights MS,331,2018-2019
Cambria Heights School District,Cambria Heights SHS,434,2018-2019
Cameron County School District,Cameron County JSHS,232,2018-2019
Cameron County School District,Woodland El Sch,302,2018-2019
Camp Hill School District,Camp Hill MS,343,2018-2019
Camp Hill School District,Camp Hill SHS,417,2018-2019
Camp Hill School District,Eisenhower El Sch,293,2018-2019
Camp Hill School District,Hoover El Sch,280,2018-2019
Canon-McMillan School District,Borland Manor El Sch,311,2018-2019
Canon-McMillan School District,Canon-McMillan SHS,1662,2018-2019
Canon-McMillan School District,Canonsburg MS,823,2018-2019
Canon-McMillan School District,Cecil Intrmd Sch,414,2018-2019
Canon-McMillan School District,Hills-Hendersonville El Sch,254,2018-2019
Canon-McMillan School District,Muse El Sch,738,2018-2019
Canon-McMillan School District,North Strabane Intrmd Sch,438,2018-2019
Canon-McMillan School District,South Central El,442,2018-2019
Canon-McMillan School District,Wylandville El Sch,259,2018-2019
Canton Area School District,Canton Area El Sch,451,2018-2019
Canton Area School District,Canton JSHS,434,2018-2019
Capital Area School for the Arts Charter School,Capital Area School for the Arts Charter School,186,2018-2019
Carbon Career & Technical Institute,Carbon Career & Technical Institute,393,2018-2019
Carbondale Area School District,Carbondale Area JSHS,683,2018-2019
Carbondale Area School District,Carbondale El Sch,804,2018-2019
Career Institute of Technology,Career Institute of Technology,662,2018-2019
Carlisle Area School District,Bellaire El Sch,399,2018-2019
Carlisle Area School District,Carlisle Area HS,1526,2018-2019
Carlisle Area School District,Crestview El Sch,458,2018-2019
Carlisle Area School District,Hamilton El Sch,399,2018-2019
Carlisle Area School District,Lamberton MS,602,2018-2019
Carlisle Area School District,Letort El Sch,259,2018-2019
Carlisle Area School District,Mooreland El Sch,348,2018-2019
Carlisle Area School District,Mt Holly Springs El Sch,236,2018-2019
Carlisle Area School District,North Dickinson El Sch,214,2018-2019
Carlisle Area School District,Wilson MS,596,2018-2019
Carlynton School District,Carlynton JSHS,585,2018-2019
Carlynton School District,Carnegie El Sch,412,2018-2019
Carlynton School District,Crafton El Sch,334,2018-2019
