Name,DataElement,DisplayValue
Montgomery Area SD,AverageDailyMembership(ADM),917.16
Montour SD,AverageDailyMembership(ADM),3126.88
Montoursville Area SD,AverageDailyMembership(ADM),1850.65
Montrose Area SD,AverageDailyMembership(ADM),1270.85
Moon Area SD,AverageDailyMembership(ADM),4071.73
Morrisville Borough SD,AverageDailyMembership(ADM),963.54
Moshannon Valley SD,AverageDailyMembership(ADM),844.94
Mount Carmel Area SD,AverageDailyMembership(ADM),1549.74
Mount Pleasant Area SD,AverageDailyMembership(ADM),1992.63
Mount Union Area SD,AverageDailyMembership(ADM),1321.99
Mountain View SD,AverageDailyMembership(ADM),945.42
Mt Lebanon SD,AverageDailyMembership(ADM),5455.81
Muhlenberg SD,AverageDailyMembership(ADM),4206.99
Multicultural Academy CS,AverageDailyMembership(ADM),236.76
Muncy SD,AverageDailyMembership(ADM),999.56
Nazareth Area SD,AverageDailyMembership(ADM),5097.18
Neshaminy SD,AverageDailyMembership(ADM),9773.89
Neshannock Township SD,AverageDailyMembership(ADM),1262.49
New Brighton Area SD,AverageDailyMembership(ADM),1401.65
New Castle Area SD,AverageDailyMembership(ADM),3324.56
New Day CS,AverageDailyMembership(ADM),161.08
New Foundations CS,AverageDailyMembership(ADM),1461.48
New Hope-Solebury SD,AverageDailyMembership(ADM),1323.72
New Kensington-Arnold SD,AverageDailyMembership(ADM),2099.04
Newport SD,AverageDailyMembership(ADM),1068.05
Nittany Valley CS,AverageDailyMembership(ADM),48.13
Norristown Area SD,AverageDailyMembership(ADM),8413.24
North Allegheny SD,AverageDailyMembership(ADM),8637.75
North Clarion County SD,AverageDailyMembership(ADM),585.47
North East SD,AverageDailyMembership(ADM),1587.56
North Hills SD,AverageDailyMembership(ADM),4654.72
North Montco Tech Career Center,AverageDailyMembership(ADM),NULL
North Penn SD,AverageDailyMembership(ADM),13124.15
North Pocono SD,AverageDailyMembership(ADM),2998.78
North Schuylkill SD,AverageDailyMembership(ADM),2135.35
North Star SD,AverageDailyMembership(ADM),1047.47
Northampton Area SD,AverageDailyMembership(ADM),5665.54
Northeast Bradford SD,AverageDailyMembership(ADM),706.87
Northeastern York SD,AverageDailyMembership(ADM),4270.36
Northern Bedford County SD,AverageDailyMembership(ADM),888.21
Northern Cambria SD,AverageDailyMembership(ADM),929.27
Northern Lebanon SD,AverageDailyMembership(ADM),2339.17
Northern Lehigh SD,AverageDailyMembership(ADM),1621.33
Northern Potter SD,AverageDailyMembership(ADM),507.41
Northern Tier Career Center,AverageDailyMembership(ADM),NULL
Northern Tioga SD,AverageDailyMembership(ADM),2042.87
Northern Westmoreland Career & Technology Center,AverageDailyMembership(ADM),NULL
Northern York County SD,AverageDailyMembership(ADM),3554.34
Northgate SD,AverageDailyMembership(ADM),1108.47
Northumberland County CTC,AverageDailyMembership(ADM),NULL
Northwest Area SD,AverageDailyMembership(ADM),968.39
Northwestern Lehigh SD,AverageDailyMembership(ADM),2086.92
Northwestern SD,AverageDailyMembership(ADM),1313.16
Northwood Academy CS,AverageDailyMembership(ADM),768.23
Norwin SD,AverageDailyMembership(ADM),5232.77
Octorara Area SD,AverageDailyMembership(ADM),2287.17
Oil City Area SD,AverageDailyMembership(ADM),1909.4
Old Forge SD,AverageDailyMembership(ADM),1021.26
Oley Valley SD,AverageDailyMembership(ADM),1508.87
Oswayo Valley SD,AverageDailyMembership(ADM),405.5
Otto-Eldred SD,AverageDailyMembership(ADM),541.51
Owen J Roberts SD,AverageDailyMembership(ADM),5685.86
Oxford Area SD,AverageDailyMembership(ADM),3944.29
Palisades SD,AverageDailyMembership(ADM),1467.78
Palmerton Area SD,AverageDailyMembership(ADM),1857.82
Palmyra Area SD,AverageDailyMembership(ADM),3700.41
