HARMONY AREA SD,856999.45,1280758.04,4711277.32,6407835.21,6849034.81,2016
HARRISBURG CITY SD,12161609.7,57090320.42,77327631.66,147062232.5,146579561.8,2016
HATBORO-HORSHAM SD,1426681.97,78860817.01,19630400.18,99218141.76,99917899.16,2016
HAVERFORD TOWNSHIP SD,1087789.46,93508119.19,20076189.54,136561360,137905708.2,2016
HAZLETON AREA SD,8549680.17,59746618.5,75166477.1,169149125.2,172444270.7,2016
HELEN THACKSTON CHARTER SCHOOL,489016.75,6724236.37,99152.6,6933183.02,7312405.72,2016
HEMPFIELD  SD,1885217.02,84215398.55,32760971.14,117568130.1,118906738.5,2016
HEMPFIELD AREA SD,474716,58555103,33002384,125079091.1,125011132,2016
HERMITAGE SD,413686.86,18614087.65,11436543.4,30307326.74,30470501.92,2016
HIGHLANDS SD,1184163.21,20131482.59,21046360.73,43925083.66,42362006.53,2016
HILL HOUSE PASSPORT ACADEMY CHARTER SCHOOL,110835,2911753,0,2928937,3022588,2016
HOLLIDAYSBURG AREA SD,876699.98,25669058.71,21014484.12,60679980.33,61117683.09,2016
HOMER-CENTER SD,266381.99,6659140.69,9131761.7,15926612.58,16075075.93,2016
HOPEWELL AREA SD,400329.99,19195148.81,19156872.33,39435688.35,38767824.78,2016
HOWARD GARDNER MULTIPLE INTELLIGENCE CS,167803.01,2820929.72,20205.36,2302730.09,3008938.09,2016
HUNTINGDON AREA SD,686666.12,12119445.89,14456369.79,37460398.4,37192481.8,2016
HUNTINGDON COUNTY CAREER AND TECHNOLOGY CENTER,79458,1987851.66,503799.33,2658657.1,2658657.39,2016
I-LEAD CHARTER SCHOOL,811659,5321114,147473,6091231,6280246,2016
IMHOTEP INSTITUTE CHS,539854,6678191.69,202292,7765235.92,7420337.69,2016
INDEPENDENCE CS,818413,8808632,192319,10015180,9819364,2016
INDEPENDENCE CS WEST,35023,3571970,40375,3220667,3647368,2016
INDIANA AREA SD,823381.65,34342898.15,18549168.75,53445015.58,53715448.55,2016
INDIANA COUNTY TECHNOLOGY CENTER,232481.13,4086258.99,1085392.98,5803562.76,5404133.1,2016
INFINITY CS,32829,1750345,12410,5107279,2983732,2016
